id,run_id,bar_open_time,pred_long,pred_short,state_before,decision,reason,processed_at
346,run_20260609_090318_f862b5,2026-06-09 09:22:00,0.007978805930630281,0.025384296806945688,FLAT,HOLD,below_threshold long=0.008 short=0.025,2026-06-09 09:22:09
347,run_20260609_090318_f862b5,2026-06-09 09:23:00,0.008707402160494685,0.03189370641395695,FLAT,HOLD,below_threshold long=0.009 short=0.032,2026-06-09 09:23:09
348,run_20260609_090318_f862b5,2026-06-09 09:24:00,0.007154060648600708,0.030438512712272037,FLAT,HOLD,below_threshold long=0.007 short=0.030,2026-06-09 09:24:09
349,run_20260609_090318_f862b5,2026-06-09 09:25:00,0.0062911316178684345,0.026134368119948143,FLAT,HOLD,below_threshold long=0.006 short=0.026,2026-06-09 09:25:09
350,run_20260609_090318_f862b5,2026-06-09 09:26:00,0.008243671176096866,0.04410244175790713,FLAT,HOLD,below_threshold long=0.008 short=0.044,2026-06-09 09:26:09
351,run_20260609_090318_f862b5,2026-06-09 09:27:00,0.008085886458792038,0.03554219685877086,FLAT,HOLD,below_threshold long=0.008 short=0.036,2026-06-09 09:27:09
352,run_20260609_090318_f862b5,2026-06-09 09:28:00,0.008094600720132428,0.032079495849010535,FLAT,HOLD,below_threshold long=0.008 short=0.032,2026-06-09 09:28:09
353,run_20260609_090318_f862b5,2026-06-09 09:29:00,0.00800230465702146,0.029128270072994313,FLAT,HOLD,below_threshold long=0.008 short=0.029,2026-06-09 09:29:09
354,run_20260609_090318_f862b5,2026-06-09 09:30:00,0.007691800291390619,0.03102183548305499,FLAT,HOLD,below_threshold long=0.008 short=0.031,2026-06-09 09:30:09
355,run_20260609_090318_f862b5,2026-06-09 09:31:00,0.008681807926583116,0.032081385580631366,FLAT,HOLD,below_threshold long=0.009 short=0.032,2026-06-09 09:31:09
356,run_20260609_090318_f862b5,2026-06-09 09:32:00,0.006769151426729645,0.031232856195306993,FLAT,HOLD,below_threshold long=0.007 short=0.031,2026-06-09 09:32:09
357,run_20260609_090318_f862b5,2026-06-09 09:33:00,0.0076600930492962,0.030550176802017177,FLAT,HOLD,below_threshold long=0.008 short=0.031,2026-06-09 09:33:09
358,run_20260609_090318_f862b5,2026-06-09 09:34:00,0.0075277012902053115,0.02938881047340162,FLAT,HOLD,below_threshold long=0.008 short=0.029,2026-06-09 09:34:09
359,run_20260609_090318_f862b5,2026-06-09 09:35:00,0.009174079745173471,0.03412595136012313,FLAT,HOLD,below_threshold long=0.009 short=0.034,2026-06-09 09:35:09
360,run_20260609_090318_f862b5,2026-06-09 09:36:00,0.008799508004652394,0.030537095155128507,FLAT,HOLD,below_threshold long=0.009 short=0.031,2026-06-09 09:36:09
361,run_20260609_090318_f862b5,2026-06-09 09:37:00,0.005087314844571226,0.024039740209957434,FLAT,HOLD,below_threshold long=0.005 short=0.024,2026-06-09 09:37:09
362,run_20260609_090318_f862b5,2026-06-09 09:38:00,0.008613873433427045,0.03178664875750314,FLAT,HOLD,below_threshold long=0.009 short=0.032,2026-06-09 09:38:09
363,run_20260609_090318_f862b5,2026-06-09 09:39:00,0.009275778499151108,0.031637976535693065,FLAT,HOLD,below_threshold long=0.009 short=0.032,2026-06-09 09:39:09
364,run_20260609_090318_f862b5,2026-06-09 09:40:00,0.00865915095322213,0.030633001018250113,FLAT,HOLD,below_threshold long=0.009 short=0.031,2026-06-09 09:40:09
365,run_20260609_090318_f862b5,2026-06-09 09:41:00,0.008795687245024442,0.03165689978850127,FLAT,HOLD,below_threshold long=0.009 short=0.032,2026-06-09 09:41:09
366,run_20260609_090318_f862b5,2026-06-09 09:42:00,0.008148869055430906,0.030268053145147706,FLAT,HOLD,below_threshold long=0.008 short=0.030,2026-06-09 09:42:09
367,run_20260609_090318_f862b5,2026-06-09 09:43:00,0.011579095889387311,0.030507720276842506,FLAT,HOLD,below_threshold long=0.012 short=0.031,2026-06-09 09:43:06
368,run_20260609_090318_f862b5,2026-06-09 09:44:00,0.01173192051327022,0.033844258711764295,FLAT,HOLD,below_threshold long=0.012 short=0.034,2026-06-09 09:44:10
369,run_20260609_090318_f862b5,2026-06-09 09:45:00,0.011668113988912841,0.0312467075702534,FLAT,HOLD,below_threshold long=0.012 short=0.031,2026-06-09 09:45:09
370,run_20260609_090318_f862b5,2026-06-09 09:46:00,0.011210048093058912,0.02820226524457234,FLAT,HOLD,below_threshold long=0.011 short=0.028,2026-06-09 09:46:10
371,run_20260609_090318_f862b5,2026-06-09 09:47:00,0.011281846352370587,0.03857322943380912,FLAT,HOLD,below_threshold long=0.011 short=0.039,2026-06-09 09:47:09
372,run_20260609_090318_f862b5,2026-06-09 09:48:00,0.011074600567105531,0.03125494452243857,FLAT,HOLD,below_threshold long=0.011 short=0.031,2026-06-09 09:48:09
373,run_20260609_090318_f862b5,2026-06-09 09:49:00,0.011246477428702571,0.029380121402936592,FLAT,HOLD,below_threshold long=0.011 short=0.029,2026-06-09 09:49:10
374,run_20260609_090318_f862b5,2026-06-09 09:50:00,0.00774462725180652,0.03492085208785762,FLAT,HOLD,below_threshold long=0.008 short=0.035,2026-06-09 09:50:11
375,run_20260609_090318_f862b5,2026-06-09 09:51:00,0.00732161955957611,0.032378919566434856,FLAT,HOLD,below_threshold long=0.007 short=0.032,2026-06-09 09:51:10
376,run_20260609_090318_f862b5,2026-06-09 09:52:00,0.007395113092828447,0.029576902105744176,FLAT,HOLD,below_threshold long=0.007 short=0.030,2026-06-09 09:52:10
377,run_20260609_090318_f862b5,2026-06-09 09:53:00,0.008537539261031239,0.037587645125910014,FLAT,HOLD,below_threshold long=0.009 short=0.038,2026-06-09 09:53:10
378,run_20260609_090318_f862b5,2026-06-09 09:54:00,0.008307024074983502,0.023699999968666542,FLAT,HOLD,below_threshold long=0.008 short=0.024,2026-06-09 09:54:06
379,run_20260609_090318_f862b5,2026-06-09 09:55:00,0.006761783388727089,0.022071544318031648,FLAT,HOLD,below_threshold long=0.007 short=0.022,2026-06-09 09:55:09
