fold,alpha,C,selected_features,train_roc_auc,train_pr_auc,train_brier_score,valid_roc_auc,valid_pr_auc,valid_brier_score,train_log_loss,valid_log_loss
2,60.0,0.016666666666666666,14,0.7500193273211879,0.38038314718505306,0.1200392127344722,0.7009971995293083,0.15376887333828282,0.04300005323782681,0.39237885342679835,0.1778610177643407
2,100.0,0.01,9,0.7506104922648557,0.38050555177659384,0.12016486482598125,0.7056122979082249,0.15400929183137435,0.04285379904825168,0.3931098959133172,0.1764987916380196
2,150.0,0.006666666666666667,6,0.7512033466054838,0.3810231596720123,0.12031476101407561,0.7106514537559894,0.1543446166422175,0.04272598867910914,0.394008855582252,0.1756020756400854
2,220.0,0.004545454545454545,5,0.7514935044081791,0.3814893283611167,0.12052364338993767,0.7164154941658875,0.15367295820376475,0.04264423531445526,0.39525269834451104,0.17599858645033284
2,330.0,0.0030303030303030303,4,0.7525100254085302,0.3821644258316284,0.12096770007171066,0.7306498106843151,0.15950224124733636,0.04298307781574599,0.3975012313619317,0.18085547297346832
2,500.0,0.002,4,0.7500518133398009,0.3809569720566865,0.12205212710320366,0.7521051855825294,0.1660006957767312,0.045506541878769104,0.4021933873106547,0.1989944829553958
2,750.0,0.0013333333333333333,2,0.745728042055259,0.3786461740579486,0.12385437782024365,0.7617219874401668,0.1667005185367717,0.05331913554146592,0.40903702520564716,0.23599501833907363
2,1000.0,0.001,2,0.7456195331734328,0.3786163051710061,0.12589236740832402,0.7617123223126717,0.16829084830952196,0.05745020411579483,0.41600800650808334,0.2521501293384567
3,30.0,0.03333333333333333,25,0.7671029292497624,0.37057325212326586,0.10714523217338455,0.7315037361612541,0.2113954023881253,0.07024962775317284,0.3556135571622126,0.28464122649078694
3,60.0,0.016666666666666666,17,0.76786337806932,0.3709166327534841,0.10724154840800489,0.719287143376108,0.20771640789538978,0.0700962137390192,0.3563243162044452,0.28227046367735875
3,100.0,0.01,10,0.7685189939378333,0.37169911656589216,0.10735418499469983,0.7077266153949828,0.20402797985387533,0.0697823736083182,0.35721848327406525,0.2777867215351159
3,150.0,0.006666666666666667,8,0.7690926727835299,0.3721642575034075,0.10748730147019213,0.720510971463892,0.20899333851301793,0.06902824857093688,0.3580788173713007,0.2685612669052664
3,220.0,0.004545454545454545,7,0.7691832870399927,0.3725202142459777,0.10767231837229983,0.7386654541990085,0.2151548700819809,0.06801101091616539,0.3593331897611731,0.2588563590079669
3,330.0,0.0030303030303030303,5,0.7682896995348069,0.3720596558458114,0.10808602107806393,0.7669699643153417,0.22589730724693685,0.06654397611019441,0.3617066604936943,0.24899229816311416
3,500.0,0.002,3,0.7676481587376979,0.3710907518939767,0.10879749586964123,0.7862684939401144,0.234286177713725,0.06563055022726508,0.3654507920690754,0.24709103112479777
3,750.0,0.0013333333333333333,3,0.7673300573365269,0.3702265638135728,0.11009304768653495,0.7950568189299869,0.23948902085675391,0.06718895371770583,0.3715186029161455,0.2594689658802624
3,1000.0,0.001,2,0.7639010180657132,0.3683249618051022,0.11173263346230695,0.7987523150102516,0.24170338771980399,0.07086097409764022,0.3781547944825411,0.27716400721150575
4,30.0,0.03333333333333333,27,0.7693389246241312,0.35860991525384506,0.10140510835723378,0.7785721949730471,0.2784351432198215,0.05985573136330364,0.34016498853957294,0.22489439391577695
4,60.0,0.016666666666666666,18,0.7699408784165879,0.35871838241941795,0.10149638339015654,0.7816596646868155,0.2801565069183052,0.05988605500825888,0.3408607614630403,0.225125362374059
4,100.0,0.01,12,0.7707286340333682,0.35901963399289666,0.1016253119606182,0.7835227929623656,0.2798778894776346,0.05990801697525138,0.3418440686636065,0.22549368217324206
4,150.0,0.006666666666666667,11,0.7713673593509727,0.3599165405954468,0.10176321226061158,0.7851904591197217,0.27798525739586394,0.059934493350643755,0.34305659620120826,0.22612058964230936
4,220.0,0.004545454545454545,9,0.7708447812045649,0.3600638336789757,0.10196612169910081,0.7869803930701609,0.2774844266747707,0.05972377681038276,0.3446273774982719,0.22620639595976713
4,330.0,0.0030303030303030303,5,0.7713769027488313,0.3600581160302155,0.10218996081307274,0.7865079569717179,0.27858993435147045,0.0595976266035216,0.34616620993426134,0.22781033927542807
4,500.0,0.002,3,0.7731102118694146,0.3604102118738597,0.1025996484356843,0.7862792247057463,0.2796063584599025,0.05996212004633263,0.34867035481627046,0.23257639862297608
4,750.0,0.0013333333333333333,3,0.7728036454022563,0.35991282481472026,0.10349565075573186,0.7865196015234402,0.28010278658577953,0.06166734021619616,0.35324960913623554,0.24417042186401772
