trial_no,param_hash,params,objective_score,mean_top10_lift,std_top10_lift,mean_spearman_rho,mean_decile_monotonicity,mean_valid_rmse,std_valid_rmse,mean_train_rmse,mean_valid_mae,elapsed_s,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees,valid_top10_lift,train_top10_lift,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,best_iteration
28,3fd440d8404ef90a,"{'num_leaves': 20, 'max_depth': 5, 'min_child_samples': 1200, 'min_child_weight': 0.0005732148926132639, 'min_split_gain': 0.000123061751515338, 'reg_alpha': 1.1991179829688783, 'reg_lambda': 37.39199157923756, 'subsample': 0.624855546988016, 'colsample_bytree': 0.4355553582879281, 'learning_rate': 0.0215222101896793, 'max_bin': 63, 'path_smooth': 1.2530752639528921, 'extra_trees': False}",-0.0039463982462983,,,,,,,,,6.6,20,5,1200,0.0005732148926132,0.0001230617515153,1.1991179829688785,37.39199157923756,0.624855546988016,0.4355553582879281,0.0215222101896793,63,1.253075263952892,False,0.0039463982462983,0.0105956501488149,0.0066492519025165,0.2672564642600016,1.0,0.0051033708564193,0.0095050360492465,0.0035257293775501,1364.0
29,00171d635c6e3127,"{'num_leaves': 8, 'max_depth': 3, 'min_child_samples': 1004, 'min_child_weight': 0.0007361480210277175, 'min_split_gain': 0.00012660797591010917, 'reg_alpha': 1.1003934641157187, 'reg_lambda': 62.464231294741566, 'subsample': 0.7137574026676561, 'colsample_bytree': 0.6840835217724412, 'learning_rate': 0.04565142415932249, 'max_bin': 127, 'path_smooth': 0.07163008570945609, 'extra_trees': True}",-0.0038762868229505,,,,,,,,,4.9,8,3,1004,0.0007361480210277,0.0001266079759101,1.1003934641157187,62.464231294741566,0.7137574026676561,0.6840835217724412,0.0456514241593224,127,0.071630085709456,True,0.0038762868229505,0.0106524966958197,0.0067762098728692,0.2706014295119806,1.0,0.0050960505466063,0.0095123114788631,0.0035302512446146,1278.0
30,bbdad5e0653021cd,"{'num_leaves': 12, 'max_depth': 6, 'min_child_samples': 472, 'min_child_weight': 0.0004205394353347012, 'min_split_gain': 0.0027159268733944228, 'reg_alpha': 3.284699798255949, 'reg_lambda': 24.6969126498682, 'subsample': 0.5172204199267055, 'colsample_bytree': 0.4616608555889251, 'learning_rate': 0.011271341663049236, 'max_bin': 127, 'path_smooth': 0.02167271655096629, 'extra_trees': True}",-0.0035971114051719,,,,,,,,,5.8,12,6,472,0.0004205394353347,0.0027159268733944,3.284699798255949,24.6969126498682,0.5172204199267055,0.4616608555889251,0.0112713416630492,127,0.0216727165509662,True,0.0035971114051719,0.0099616958051467,0.0063645843999748,0.2551036608830711,0.8888888888888888,0.0053104896372264,0.0097517036606497,0.0039541117229978,2113.0
31,6e32d5ab7d120cb8,"{'num_leaves': 25, 'max_depth': 6, 'min_child_samples': 1103, 'min_child_weight': 0.00045002169434579044, 'min_split_gain': 0.00013476775700550745, 'reg_alpha': 6.640666979710787, 'reg_lambda': 13.66095954216276, 'subsample': 0.8397484370438995, 'colsample_bytree': 0.37954273401981975, 'learning_rate': 0.007022520232178609, 'max_bin': 127, 'path_smooth': 0.010377073041686374, 'extra_trees': False}",-0.0034802953750536,,,,,,,,,6.9,25,6,1103,0.0004500216943457,0.0001347677570055,6.640666979710787,13.66095954216276,0.8397484370438995,0.3795427340198197,0.0070225202321786,127,0.0103770730416863,False,0.0034802953750536,0.0102060816078737,0.00672578623282,0.2467385062949194,1.0,0.0052725901166047,0.0097044669424494,0.0038871525578767,1968.0
32,fc220cf870c8d2d1,"{'num_leaves': 8, 'max_depth': 3, 'min_child_samples': 3815, 'min_child_weight': 0.000732655603350216, 'min_split_gain': 0.0, 'reg_alpha': 0.47002453810641376, 'reg_lambda': 60.46087960227294, 'subsample': 0.5279467901865521, 'colsample_bytree': 0.8482334067266175, 'learning_rate': 0.01880025231364822, 'max_bin': 63, 'path_smooth': 0.024390591314393573, 'extra_trees': True}",-0.0036846573552266,,,,,,,,,5.6,8,3,3815,0.0007326556033502,0.0,0.4700245381064137,60.46087960227294,0.5279467901865521,0.8482334067266175,0.0188002523136482,63,0.0243905913143935,True,0.0036846573552266,0.0096337099707079,0.0059490526154813,0.2594805426114082,1.0,0.0051761265593753,0.0097511959040166,0.0035858584152079,1209.0
33,5593ecfbf436c469,"{'num_leaves': 12, 'max_depth': 8, 'min_child_samples': 2102, 'min_child_weight': 0.0001995012126559087, 'min_split_gain': 0.00010609088145105144, 'reg_alpha': 3.1931817154880573, 'reg_lambda': 19.331885653396927, 'subsample': 0.5861529763811294, 'colsample_bytree': 0.36770141680112167, 'learning_rate': 0.02097484881101186, 'max_bin': 127, 'path_smooth': 0.16642554534210863, 'extra_trees': True}",-0.0036883630570001,,,,,,,,,3.8,12,8,2102,0.0001995012126559,0.000106090881451,3.1931817154880573,19.331885653396927,0.5861529763811294,0.3677014168011216,0.0209748488110118,127,0.1664255453421086,True,0.0036883630570001,0.0101258623558773,0.0064374992988772,0.2664549346818468,1.0,0.0052190253099435,0.0097503992532409,0.0037398244764278,1243.0
34,77f18e67e9d9aa73,"{'num_leaves': 8, 'max_depth': 3, 'min_child_samples': 463, 'min_child_weight': 0.0001021100052208907, 'min_split_gain': 9.2698952960565e-05, 'reg_alpha': 6.4935956094789296, 'reg_lambda': 13.681072482620294, 'subsample': 0.5778130074332399, 'colsample_bytree': 0.43419871323051445, 'learning_rate': 0.009113444388651259, 'max_bin': 63, 'path_smooth': 2.146984125715084, 'extra_trees': False}",-0.0034264061283151,,,,,,,,,4.7,8,3,463,0.0001021100052208,9.2698952960565e-05,6.4935956094789296,13.681072482620294,0.5778130074332399,0.4341987132305144,0.0091134443886512,63,2.146984125715084,False,0.0034264061283151,0.0098819534587275,0.0064555473304124,0.2465820968101478,1.0,0.0053399854133213,0.0097866829154829,0.0039961554943814,1262.0
35,da6198d47f5ad94b,"{'num_leaves': 10, 'max_depth': 6, 'min_child_samples': 4296, 'min_child_weight': 0.0011747951437977673, 'min_split_gain': 7.333463288323861e-05, 'reg_alpha': 0.01857972174522571, 'reg_lambda': 43.36936554663048, 'subsample': 0.6127275242287056, 'colsample_bytree': 0.7047138826847478, 'learning_rate': 0.014772043205451993, 'max_bin': 63, 'path_smooth': 0.02642659170004835, 'extra_trees': False}",-0.0036514482860494,,,,,,,,,16.0,10,6,4296,0.0011747951437977,7.333463288323861e-05,0.0185797217452257,43.36936554663048,0.6127275242287056,0.7047138826847478,0.0147720432054519,63,0.0264265917000483,False,0.0036514482860494,0.0102622596206596,0.0066108113346101,0.272354388874684,1.0,0.0051529877898583,0.0096012731089917,0.0035199607678513,2010.0
36,9d9df5c8f06b4b19,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 890, 'min_child_weight': 0.007170598759930064, 'min_split_gain': 0.0777900828059529, 'reg_alpha': 0.03767574750247606, 'reg_lambda': 19.381569598861027, 'subsample': 0.5651988506290919, 'colsample_bytree': 0.5938770173641011, 'learning_rate': 0.03934652829682286, 'max_bin': 63, 'path_smooth': 0.004623568136251207, 'extra_trees': False}",-0.0034037972894819,,,,,,,,,1.2,4,2,890,0.00717059875993,0.0777900828059529,0.037675747502476,19.381569598861027,0.5651988506290919,0.5938770173641011,0.0393465282968228,63,0.0046235681362512,False,0.0034037972894819,0.0095937871734872,0.0061899898840052,0.1872847940740971,1.0,0.0057303125711363,0.0100050242902559,0.0045902414182055,130.0
37,173150156286b5fc,"{'num_leaves': 3, 'max_depth': 4, 'min_child_samples': 4822, 'min_child_weight': 0.00021796519877062952, 'min_split_gain': 0.0, 'reg_alpha': 0.07107264899820538, 'reg_lambda': 4.619365885685752, 'subsample': 0.6671637856815614, 'colsample_bytree': 0.6562891548384802, 'learning_rate': 0.0083664683058137, 'max_bin': 127, 'path_smooth': 0.0011297315090982136, 'extra_trees': False}",-0.0035576076952293,,,,,,,,,14.3,3,4,4822,0.0002179651987706,0.0,0.0710726489982053,4.619365885685752,0.6671637856815614,0.6562891548384802,0.0083664683058137,127,0.0011297315090982,False,0.0035576076952293,0.0099990673727919,0.0064414596775625,0.2589433520065362,1.0,0.005177696829655,0.0096693475708208,0.0035615627966998,2979.0
