entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,score
0.5,90,0.01,386,0.9197,7.3944,5.043,-0.1058,26.5,7.446425
0.42,30,0.0,579,0.6839,7.4599,2.406,-0.132,28.8,7.439875000000001
0.3,90,0.015,1115,0.6807,7.3777,1.557,-0.2619,53.5,7.291925
0.45,30,0.02,496,0.6976,7.1259,2.741,-0.1642,26.1,7.0932
0.33,60,0.02,969,0.6491,7.1705,1.625,-0.2881,45.8,7.063725
0.48,60,0.01,426,0.8756,6.951,4.258,-0.0932,24.1,6.9982999999999995
0.48,30,0.02,424,0.7193,6.9734,3.162,-0.1163,25.9,6.970075
0.55,30,0.02,292,0.7877,6.7955,4.504,-0.1465,24.1,6.794175
0.55,120,0.01,293,0.9659,6.5789,16.481,-0.0367,23.9,6.677025
0.36,60,0.01,838,0.7554,6.6999,1.958,-0.1882,32.9,6.669650000000001
0.4,60,0.01,655,0.7847,6.6296,2.352,-0.1783,30.8,6.611625
0.55,45,0.015,290,0.831,6.4119,4.536,-0.1895,26.9,6.3999
0.3,60,0.0,1125,0.6284,6.4144,1.485,-0.3575,49.0,6.2677499999999995
0.3,120,0.01,1138,0.7522,6.2377,1.594,-0.2311,46.8,6.1852
0.45,45,0.01,500,0.828,6.1524,3.171,-0.1547,22.5,6.15705
0.42,45,0.01,579,0.8066,6.0808,2.64,-0.1837,24.6,6.0656
0.55,90,0.01,293,0.9454,5.8862,11.673,-0.0343,22.5,5.9803999999999995
0.42,30,0.02,581,0.6885,5.9856,2.295,-0.132,26.6,5.966725
0.33,90,0.01,974,0.7649,5.914,1.682,-0.2333,41.9,5.863575
0.38,45,0.01,745,0.745,5.8745,2.133,-0.1527,27.1,5.859400000000001
0.5,30,0.015,387,0.7597,5.8237,3.346,-0.1229,22.1,5.8271749999999995
0.36,45,0.015,836,0.6687,5.8492,1.781,-0.2808,34.8,5.750975
0.5,60,0.01,388,0.8866,5.6683,4.081,-0.1258,22.8,5.702050000000001
0.48,30,0.015,427,0.7354,5.5426,3.034,-0.1163,23.1,5.5432999999999995
0.45,30,0.015,497,0.7123,5.5021,2.587,-0.1342,23.7,5.488075
0.33,45,0.0,973,0.6197,5.3653,1.589,-0.2441,39.7,5.273175000000001
0.48,45,0.01,429,0.8345,5.1069,3.408,-0.1217,21.2,5.129675
0.4,45,0.01,659,0.7648,5.1312,2.19,-0.1589,26.3,5.11795
0.55,60,0.01,293,0.9181,4.8283,8.022,-0.0492,19.7,4.908224999999999
0.5,45,0.01,390,0.8487,4.7646,3.748,-0.1418,20.0,4.780875
0.55,30,0.015,293,0.7986,4.7535,4.031,-0.1507,20.6,4.7528
0.42,30,0.015,582,0.6993,4.5927,2.161,-0.0972,24.8,4.593925
0.33,60,0.015,979,0.6599,4.6646,1.525,-0.2582,42.3,4.575475
0.36,45,0.01,843,0.7236,4.457,1.78,-0.2473,27.9,4.3892500000000005
0.4,30,0.0,662,0.6526,4.239,1.872,-0.1606,28.6,4.1968499999999995
0.55,45,0.01,295,0.8949,4.069,6.051,-0.1113,17.7,4.112075
0.3,60,0.02,1140,0.6298,4.0744,1.39,-0.3555,45.3,3.9290999999999996
0.3,90,0.01,1152,0.7344,3.9017,1.445,-0.2752,42.0,3.8227
0.4,30,0.02,663,0.6591,3.8548,1.838,-0.1605,26.7,3.814325
0.33,45,0.02,983,0.6216,3.8455,1.489,-0.282,37.0,3.7349
0.45,30,0.01,501,0.7665,3.5584,2.425,-0.1342,18.1,3.557925
0.42,30,0.01,585,0.7504,3.4585,2.137,-0.1147,19.5,3.46375
0.38,30,0.02,751,0.6378,3.4924,1.72,-0.1471,26.9,3.4533
0.38,30,0.0,748,0.631,3.4934,1.72,-0.1551,28.4,3.4486
0.48,30,0.01,431,0.7865,3.384,2.764,-0.1075,17.2,3.401875
0.5,30,0.01,392,0.801,3.2788,2.972,-0.1187,16.2,3.2947
0.33,60,0.01,994,0.7143,3.2571,1.491,-0.283,34.5,3.1691749999999996
0.55,30,0.01,297,0.835,2.8765,4.051,-0.0968,14.7,2.9118500000000003
0.4,30,0.015,666,0.6667,2.9264,1.728,-0.1525,25.1,2.8918250000000003
0.33,45,0.015,991,0.6297,2.8123,1.419,-0.2978,34.9,2.695825
0.38,30,0.015,754,0.6459,2.7241,1.634,-0.1567,25.4,2.682225
0.3,45,0.0,1160,0.6121,2.7611,1.331,-0.327,38.8,2.625625
0.38,30,0.01,754,0.6883,2.6254,1.703,-0.1184,21.1,2.613275
0.4,30,0.01,666,0.7102,2.5425,1.765,-0.1205,20.6,2.5348
0.3,60,0.015,1150,0.6391,2.5281,1.308,-0.326,42.1,2.3998749999999998
0.36,30,0.02,846,0.6123,2.3222,1.471,-0.1971,26.8,2.251725
0.36,30,0.0,842,0.6057,2.2767,1.462,-0.2047,28.2,2.200775
0.33,45,0.01,1001,0.6793,1.9967,1.376,-0.3083,29.3,1.887375
0.36,30,0.01,853,0.6647,1.8777,1.465,-0.1625,21.6,1.8376249999999998
0.3,45,0.02,1171,0.6166,1.9812,1.27,-0.3617,36.7,1.8295000000000001
0.36,30,0.015,850,0.6224,1.7894,1.409,-0.2057,25.5,1.71715
0.3,60,0.01,1175,0.6894,1.6983,1.263,-0.3215,34.6,1.5849
0.3,45,0.015,1180,0.6212,1.1735,1.195,-0.3924,34.7,1.0076
0.33,30,0.02,1013,0.5755,0.903,1.203,-0.2959,26.6,0.773925
0.3,45,0.01,1194,0.6633,0.8025,1.16,-0.3881,29.5,0.6492749999999999
0.33,30,0.0,1010,0.5683,0.7153,1.173,-0.2897,27.8,0.5875250000000001
0.33,30,0.015,1015,0.5813,0.5735,1.147,-0.3112,25.6,0.4382250000000001
0.33,30,0.01,1019,0.6173,0.5037,1.142,-0.3356,22.3,0.365225
0.3,30,0.02,1207,0.5551,0.3994,1.095,-0.3366,26.4,0.24487499999999998
0.3,30,0.0,1201,0.5504,0.3447,1.087,-0.2866,27.4,0.214
0.3,30,0.015,1210,0.5603,0.2,1.058,-0.3706,25.5,0.029775000000000024
0.3,30,0.01,1218,0.592,0.1104,1.039,-0.3674,22.5,-0.05030000000000001
