entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,exposure_pct,score
0.35,60,0.0,672,0.6429,5.7807,1.782,-0.219,51.2,0.046,5.71407
0.6,120,0.015,184,0.9511,5.6136,8.202,-0.1383,33.4,0.008,5.67978
0.6,90,0.015,185,0.9351,5.5109,8.88,-0.1139,31.5,0.008,5.584480000000001
0.45,90,0.01,378,0.8968,5.4994,3.976,-0.0898,29.8,0.015,5.5735399999999995
0.55,90,0.015,225,0.8711,5.5022,5.319,-0.1324,40.4,0.012,5.54733
0.6,30,0.0,185,0.8324,5.4225,6.21,-0.1133,29.9,0.007,5.46557
0.35,90,0.015,672,0.7068,5.4628,1.798,-0.175,54.0,0.048,5.437339999999999
0.5,45,0.02,285,0.7684,5.427,3.505,-0.1454,35.0,0.013,5.434819999999999
0.45,45,0.015,376,0.7713,5.3992,3.042,-0.1466,31.2,0.016,5.407290000000001
0.5,60,0.015,285,0.8316,5.3411,3.757,-0.1101,35.3,0.013,5.38553
0.4,45,0.0,509,0.6719,5.3998,2.208,-0.1714,41.4,0.028,5.36567
0.38,120,0.01,565,0.823,5.2649,2.296,-0.1845,43.3,0.033,5.26955
0.3,120,0.015,876,0.6929,5.3475,1.596,-0.3197,59.9,0.07,5.245520000000001
0.48,45,0.015,315,0.7905,5.2152,3.635,-0.118,29.9,0.013,5.24335
0.3,90,0.015,893,0.6775,5.27,1.608,-0.2201,52.5,0.063,5.2132
0.42,45,0.02,454,0.707,5.2069,2.434,-0.1439,36.6,0.022,5.19705
0.4,60,0.015,507,0.7278,5.2274,2.162,-0.222,41.6,0.028,5.184740000000001
0.42,90,0.01,453,0.8543,5.0788,2.877,-0.0913,33.9,0.021,5.13944
0.3,60,0.0,908,0.6222,5.1636,1.546,-0.3295,48.7,0.059,5.03551
0.4,90,0.01,505,0.8356,4.9331,2.497,-0.157,36.8,0.025,4.955279999999999
0.38,60,0.015,576,0.7049,4.8704,1.942,-0.2008,41.8,0.032,4.83147
