entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,exposure_pct,score
0.3,45,0.02,754,0.5398,1.0863,1.249,-0.1994,40.2,0.04,0.99854
0.48,45,0.02,200,0.625,0.9703,1.816,-0.0707,38.3,0.01,0.97245
0.55,60,0.015,115,0.7826,0.9163,2.688,-0.0939,35.7,0.005,0.9541299999999999
0.35,30,0.015,563,0.5613,0.9901,1.382,-0.1309,26.3,0.02,0.94304
0.45,120,0.01,263,0.8099,0.8963,1.682,-0.0952,43.5,0.015,0.94167
0.35,30,0.02,562,0.5498,1.0038,1.377,-0.1572,28.2,0.021,0.94014
0.5,45,0.0,173,0.5954,0.9237,1.832,-0.0789,44.9,0.01,0.91287
0.5,120,0.01,175,0.8343,0.8207,2.152,-0.0674,41.4,0.01,0.88729
0.45,45,0.015,261,0.6398,0.9053,1.649,-0.1608,34.0,0.012,0.8668399999999999
0.45,90,0.01,265,0.7887,0.8195,1.631,-0.0933,38.2,0.013,0.85946
0.3,60,0.015,749,0.5754,0.941,1.214,-0.2329,46.2,0.046,0.8471699999999999
0.48,90,0.01,202,0.8119,0.7654,1.879,-0.065,36.3,0.01,0.82647
0.5,45,0.02,174,0.6149,0.8114,1.771,-0.0805,38.5,0.009,0.80562
0.6,45,0.0,74,0.6351,0.8008,2.967,-0.0855,44.8,0.004,0.79858
0.6,60,0.02,74,0.7297,0.7663,3.129,-0.0776,42.6,0.004,0.7964100000000001
0.6,120,0.015,74,0.8108,0.7203,3.582,-0.0622,49.3,0.005,0.78244
0.5,60,0.015,175,0.68,0.7336,1.736,-0.0763,41.7,0.01,0.7494500000000001
0.42,45,0.01,339,0.6962,0.7422,1.508,-0.105,27.4,0.012,0.74856
0.45,60,0.01,267,0.7416,0.7055,1.587,-0.1112,30.8,0.011,0.72238
0.6,90,0.015,74,0.7973,0.6598,3.436,-0.0592,43.2,0.004,0.7193900000000001
0.48,60,0.015,200,0.685,0.7266,1.633,-0.1258,41.1,0.011,0.7192000000000001
0.55,120,0.01,114,0.8684,0.634,2.802,-0.0631,35.5,0.005,0.71297
0.5,90,0.01,176,0.7955,0.6514,1.889,-0.0685,36.9,0.009,0.7058
0.38,45,0.01,455,0.6703,0.7037,1.353,-0.1178,29.3,0.018,0.69589
0.55,45,0.015,115,0.687,0.6702,2.273,-0.0992,30.3,0.005,0.6767000000000001
0.48,45,0.015,201,0.6418,0.6829,1.655,-0.1115,33.8,0.009,0.66969
0.45,45,0.01,267,0.7191,0.6246,1.57,-0.0739,26.1,0.009,0.65338
0.55,45,0.02,115,0.6435,0.6542,2.067,-0.106,37.3,0.006,0.64425
0.48,60,0.01,203,0.7635,0.601,1.725,-0.1089,29.2,0.008,0.6255999999999999
0.3,45,0.015,764,0.555,0.6884,1.182,-0.1821,37.5,0.038,0.61385
0.55,45,0.0,115,0.5913,0.6078,1.929,-0.084,44.9,0.007,0.59319
0.4,45,0.01,393,0.6743,0.5988,1.347,-0.1804,28.2,0.015,0.5608899999999999
0.35,30,0.0,560,0.5411,0.6258,1.258,-0.1613,29.8,0.022,0.55748
0.55,90,0.01,114,0.8509,0.4981,2.221,-0.1012,32.2,0.005,0.55277
0.35,30,0.01,566,0.5989,0.5824,1.275,-0.1205,22.3,0.017,0.55182
0.6,60,0.015,74,0.7568,0.5011,2.613,-0.0677,35.6,0.003,0.54429
0.48,45,0.01,203,0.7192,0.5268,1.655,-0.1176,24.9,0.007,0.53376
0.6,120,0.01,74,0.8784,0.4387,3.542,-0.0529,32.7,0.003,0.52577
0.5,45,0.015,175,0.6286,0.5163,1.549,-0.0773,34.5,0.008,0.51623
0.38,30,0.015,458,0.583,0.5695,1.28,-0.1771,26.2,0.016,0.50585
0.6,45,0.02,74,0.6757,0.4817,2.34,-0.0777,35.5,0.003,0.49556
0.6,30,0.0,74,0.6757,0.4738,2.554,-0.0733,30.0,0.003,0.48985999999999996
0.3,45,0.0,752,0.5279,0.5783,1.158,-0.1997,43.4,0.043,0.48682000000000003
0.45,30,0.02,265,0.5698,0.5728,1.436,-0.2236,27.4,0.01,0.48194
0.6,90,0.01,74,0.8514,0.4002,3.379,-0.0523,29.8,0.003,0.47947
0.5,30,0.0,176,0.5909,0.4901,1.552,-0.093,30.0,0.007,0.47087
0.48,30,0.0,203,0.601,0.5055,1.517,-0.1429,29.9,0.008,0.46434999999999993
0.48,30,0.02,203,0.6108,0.4782,1.495,-0.0994,27.1,0.007,0.46174
0.6,30,0.02,74,0.7027,0.4284,2.576,-0.0561,26.0,0.003,0.46115999999999996
0.45,30,0.0,265,0.5623,0.5594,1.428,-0.2351,29.9,0.01,0.46054
0.55,60,0.01,115,0.8174,0.4037,1.962,-0.103,27.0,0.004,0.44742000000000004
0.5,60,0.01,176,0.7557,0.3892,1.513,-0.0763,30.0,0.007,0.42776
0.48,30,0.01,203,0.6995,0.4128,1.555,-0.1095,19.5,0.005,0.4179
0.4,30,0.015,400,0.58,0.4967,1.271,-0.2528,25.8,0.014,0.39429999999999993
0.6,30,0.015,74,0.7162,0.3507,2.475,-0.0561,23.3,0.002,0.38750999999999997
0.55,30,0.015,115,0.6522,0.3919,1.809,-0.1011,23.0,0.004,0.38701
0.3,60,0.01,765,0.6431,0.4457,1.135,-0.2052,37.9,0.038,0.38603
0.6,45,0.015,74,0.7027,0.3566,2.099,-0.0777,30.3,0.003,0.37855999999999995
0.5,30,0.02,176,0.6023,0.3838,1.453,-0.093,27.5,0.006,0.36799
