direction,entry_cutoff,tp_spec,sl_spec,n_trades,total_fact_log_return,avg_fact_log_return,compounded_return_pct,win_rate,avg_hold_minutes
long,0.99,bucket_mean_mfe,2.0x_tp,132,0.0037096225115628764,2.8103200845173306e-05,0.3716511677252621,0.6287878787878788,24.939393939393938
long,0.9,bucket_median_mfe,none,1009,0.11020900546466324,0.00010922597171919052,11.651140305872577,0.5817641228939544,42.818632309217044
long,0.92,bucket_median_mfe,none,821,-0.23446962387428227,-0.0002855902848651428,-20.900973925394297,0.5566382460414129,42.38733252131547
long,0.94,bucket_median_mfe,none,587,-0.11277407375445642,-0.0001921193760723278,-10.664753091252644,0.5724020442930153,40.41226575809199
long,0.95,bucket_median_mfe,none,486,-0.15552841434432862,-0.0003200173134656968,-14.40372450370676,0.5761316872427984,39.73045267489712
long,0.96,bucket_median_mfe,none,405,0.18593394981526323,0.00045909617238336603,20.43427106919953,0.6172839506172839,37.6641975308642
long,0.97,bucket_median_mfe,none,334,0.3636877045900179,0.001088885343083886,43.86248680543561,0.6497005988023952,35.17964071856287
long,0.98,bucket_median_mfe,none,216,0.2787221077129453,0.0012903801283006726,32.14400748366848,0.6759259259259259,33.708333333333336
long,0.99,bucket_median_mfe,none,116,0.332674362390618,0.002867882434401879,39.46930600013725,0.7327586206896551,25.49137931034483
long,0.9,bucket_median_mfe,0.5x_tp,2594,-0.011333906808676415,-4.369277875357138e-06,-1.1269920055019034,0.3427139552814187,13.066306861989206
long,0.92,bucket_median_mfe,0.5x_tp,2138,-0.3225736100900379,-0.00015087633774089705,-27.571738466390304,0.33489242282507015,11.796538821328344
long,0.94,bucket_median_mfe,0.5x_tp,1636,-0.1262459797973284,-7.716746931377042e-05,-11.860198598858352,0.33496332518337407,10.04034229828851
long,0.95,bucket_median_mfe,0.5x_tp,1382,-0.09874955203009539,-7.145408974681287e-05,-9.403042214561264,0.33285094066570187,9.210564399421129
long,0.96,bucket_median_mfe,0.5x_tp,1124,0.24988672908287687,0.00022231915398832462,28.387998218808885,0.34608540925266906,8.591637010676157
long,0.97,bucket_median_mfe,0.5x_tp,883,0.2371427736169862,0.00026856486253339323,26.762208784655385,0.3488108720271801,7.730464326160815
long,0.98,bucket_median_mfe,0.5x_tp,607,0.14826284034589665,0.0002442550911794014,15.981770318973677,0.34761120263591433,6.115321252059308
long,0.99,bucket_median_mfe,0.5x_tp,304,0.3360302774446213,0.0011053627547520436,39.93813938621707,0.39144736842105265,4.572368421052632
long,0.9,bucket_median_mfe,1.0x_tp,1718,-0.06377304664963027,-3.712051609408048e-05,-6.178209293283798,0.49650756693830034,23.545401629802097
long,0.92,bucket_median_mfe,1.0x_tp,1460,-0.36365225230515436,-0.0002490768851405167,-30.486711642501753,0.48561643835616436,21.823287671232876
long,0.94,bucket_median_mfe,1.0x_tp,1120,-0.3797253974796312,-0.0003390405334639564,-31.595077493491843,0.48125,18.776785714285715
long,0.95,bucket_median_mfe,1.0x_tp,962,-0.4203405006625419,-0.0004369443873830997,-34.31768669774996,0.4781704781704782,17.224532224532226
long,0.96,bucket_median_mfe,1.0x_tp,790,-0.16369966221142357,-0.00020721476229294122,-15.10030305345893,0.4835443037974684,15.939240506329114
long,0.97,bucket_median_mfe,1.0x_tp,624,0.160183040990243,0.00025670359133051765,17.37256912435534,0.5048076923076923,14.307692307692308
long,0.98,bucket_median_mfe,1.0x_tp,434,-0.020743945827574477,-4.779711020178451e-05,-2.053027022557574,0.5,11.516129032258064
long,0.99,bucket_median_mfe,1.0x_tp,224,0.33848435542888844,0.0015110908724503948,40.2819802267975,0.5580357142857143,8.0625
long,0.9,bucket_median_mfe,1.5x_tp,1372,0.2242898215101347,0.00016347654629018566,25.143365926837348,0.5634110787172012,31.096209912536445
long,0.92,bucket_median_mfe,1.5x_tp,1158,-0.11642953672220607,-0.00010054364138359764,-10.99071863757699,0.5457685664939551,29.407599309153714
long,0.94,bucket_median_mfe,1.5x_tp,878,-0.12402246437819103,-0.00014125565418928362,-11.66400034731846,0.55125284738041,26.11731207289294
long,0.95,bucket_median_mfe,1.5x_tp,754,-0.22872136037736351,-0.000303343979280323,-20.444982557492096,0.5543766578249337,24.320954907161802
long,0.96,bucket_median_mfe,1.5x_tp,635,-0.07782688804084797,-0.00012256202841078422,-7.487543719208456,0.5669291338582677,22.470866141732284
long,0.97,bucket_median_mfe,1.5x_tp,512,0.16312219884953144,0.0003185980446279911,17.718053100624598,0.58203125,20.822265625
long,0.98,bucket_median_mfe,1.5x_tp,355,-0.02663796301941087,-7.503651554763626e-05,-2.6286301913454158,0.5774647887323944,18.17183098591549
long,0.99,bucket_median_mfe,1.5x_tp,196,0.3424109697824577,0.0017469947437880496,40.833896335626775,0.6428571428571429,11.724489795918368
long,0.9,bucket_median_mfe,2.0x_tp,1228,0.1403741572365334,0.00011431120296134642,15.070426264861393,0.5822475570032574,35.122964169381106
long,0.92,bucket_median_mfe,2.0x_tp,1037,-0.15291425078090454,-0.00014745829390636888,-14.179669108010485,0.5679845708775313,33.45226615236258
