trial_number,value,long_entry_pct,short_entry_pct,min_edge_gap,max_hold_minutes,cooldown_minutes,min_hold_minutes,rearm_pct
40,0.002260805404496133,0.9481020201809747,0.9559680603758934,0.20119954476851856,53,101,9,0.48579608758504544
41,0.005208174770566016,0.9109224290431207,0.9792225870207061,0.18601084082882377,176,85,6,0.40102464933958526
42,0.0048143096531702975,0.8742778213909104,0.9881393347050011,0.15393146943572664,206,82,6,0.4179535709972169
43,0.00478323377838806,0.8865806826911593,0.9887710805733203,0.21553048941625255,229,94,5,0.44122509687759326
44,0.004261554054934693,0.916808701700098,0.972575891548773,0.12522749435202785,163,73,8,0.41583543744809576
45,0.004888532167057425,0.9016498851975981,0.9560186579343865,0.04563642920778013,180,83,3,0.401547614761377
46,0.003290482497215786,0.8321505447155987,0.9388229328403209,0.19792246063126204,213,64,23,0.4624820355461704
47,0.00405376239298775,0.8664790068388428,0.9784903185808695,0.17060714524451975,194,78,7,0.4339765201572921
48,0.003179864138281391,0.9369698089098444,0.962962851094475,0.23252655608923725,77,54,10,0.41481189568724675
49,-0.00048240549175447404,0.8848984396648963,0.7342532341164612,0.18149432375906563,145,39,5,0.45609477088371225
50,0.00278308259648093,0.9248958995917531,0.9262876363871962,0.27867433982405254,185,91,6,0.44084396319354546
51,0.005057716736995305,0.909215401648314,0.9769920429878558,0.18346897458699626,177,82,6,0.4011105267591211
52,0.005134844996819927,0.9074859119624679,0.9885915789701551,0.2508761888085745,157,84,4,0.41846868824517697
53,0.003780266155122577,0.9377609555842096,0.9778266272770513,0.1594473744889769,202,74,3,0.4130941595084723
54,0.004680173803833216,0.8923316773835746,0.9613438294792856,0.18960617059239315,134,112,8,0.4004998061060613
55,0.002194593245738872,0.9583961572146749,0.9422314666182321,0.2142003581362948,222,100,6,0.4326707039364498
56,0.003932601413148326,0.9168394593293732,0.9780784727541925,0.2381181181248787,112,44,9,0.4456651970709261
57,0.003064488245623102,0.8594159236178287,0.9488381006807836,0.22890071006060164,233,72,4,0.48259455248842786
58,0.0050765718722926316,0.8806451834723408,0.9897180618627751,0.19537465109941668,175,79,11,0.41453758948221686
59,0.00036380957260047104,0.947287999724478,0.8312498912498613,0.1817377095743205,196,86,7,0.4315221997677093
60,0.0038718484936729586,0.927492830706308,0.9644931552767757,0.07646865084867774,207,104,4,0.40999278257866084
61,0.0046532895768348105,0.9075457614413001,0.9812890263890489,0.24974152732035962,157,91,5,0.42347408815814747
62,0.004573188146167293,0.9050322869374562,0.9693435388307906,0.25652450755183426,153,82,3,0.41188277551052466
63,0.004382156281068243,0.8919066038465994,0.98076337782303,0.21623291888213267,189,85,5,0.4480875842163504
64,0.003572085012612474,0.8717633270371272,0.957220727254157,0.26251161222467445,126,96,7,0.4288414274761859
65,0.00497863045874032,0.9138092607252842,0.9897619719367236,0.28525591965308844,159,76,4,0.42106104996804905
66,0.003118010517454819,0.8913087860756598,0.9355994481955865,0.24897202294210824,173,65,8,0.464367087751928
67,0.004888532167057425,0.9011358498371116,0.9678917259189449,0.20920164926910925,211,90,5,0.40827013618751884
68,0.002472221025929874,0.764452028263481,0.9495859467923486,0.1670244688141754,147,50,3,0.7118328787689545
69,0.0030535887401114048,0.9220212977328025,0.9805415499303055,0.2010181217794312,220,69,6,0.6090277177441585
70,0.00411848686061571,0.8827946628079713,0.9732157017611565,0.1478850821463149,187,33,9,0.43362055010488426
71,0.00541750280651337,0.878534325856402,0.9871535460749058,0.19365029780371118,168,79,13,0.4001272973799141
72,0.005249175708999124,0.8480555537430849,0.9897326141404875,0.18078053204499347,171,80,17,0.4015552178903978
73,0.004800188532428588,0.8413455124146573,0.9815850530414354,0.1788005006987228,170,58,17,0.4001198075312409
74,0.003979882566693511,0.7972907086966196,0.9710590196195564,0.1885862735056214,199,75,21,0.4413940881006625
75,0.003982475769084215,0.8204257775440306,0.9592012197878983,0.15686853409220425,163,79,14,0.40929632514824654
76,0.004426979114427273,0.8522862366530943,0.9826565591524421,0.2034416715550198,140,63,15,0.42076829707748004
77,0.0039859119486612155,0.7064241245238182,0.9648282763026234,0.13848659291163265,181,71,18,0.40830990850274224
78,0.004447301424066,0.8971082867625233,0.9747335760205589,0.2214943896126607,210,22,12,0.43013367508297207
79,0.003411514915230906,0.8661004758228936,0.9512053152327539,0.1659872008392462,202,81,21,0.4497423136567889
80,0.004771649019468847,0.8764771523761861,0.9848029789129228,0.17663364970742904,192,87,13,0.4229027097860592
81,0.005029519308672325,0.9149278093028479,0.9887798232835726,0.19328348736300985,152,84,15,0.4146147451804197
82,0.005860443526275035,0.904191198137712,0.9895500952468841,0.21041971744424023,142,88,19,0.40164670827247206
83,0.004848511083447611,0.8870292333801507,0.9717197225645613,0.20955425634277663,119,89,20,0.40006653684216903
84,0.0035042947766565874,0.9291829974061688,0.9621248582314776,0.1861963761907269,134,94,17,0.4098554203029426
85,0.004876275268785482,0.8977016437757595,0.9825198902522516,0.19721743234243325,141,76,24,0.4266109425330353
86,0.003920932400590801,0.8441971971486462,0.9739389505772306,0.22010724089558314,170,81,18,0.43998585302003274
87,0.0017328009918656337,0.8340158873816517,0.8004250156046999,3.596710830805483e-05,232,86,18,0.40764210019498315
88,0.001950016286350227,0.8706933719965496,0.9438333667465072,0.23396430729219334,218,93,29,0.6541401552111044
89,0.004919992107748353,0.9408566565471839,0.9839146901064306,0.1746786650945501,225,78,20,0.4000101751349504
90,0.003755090595984829,0.9186153922186877,0.95637940017866,0.23997548476976527,197,97,16,0.4189437530615288
91,0.00528923246427872,0.9039418449742974,0.9895485609939175,0.20290684423106786,159,85,19,0.41807332595462027
92,0.004426559737008602,0.906302751938268,0.9757731392561249,0.20027585429324632,161,89,19,0.4375262157166234
93,0.004876775973747042,0.8964611509820553,0.9681724124291967,0.21386887557977036,167,80,21,0.4062711344469112
94,0.004742122443072721,0.9115673236844201,0.9843542084747621,0.22709224102270748,148,68,19,0.4255634251245188
95,0.0039016221757531243,0.9317117861910195,0.9775335686125526,0.18585404131769034,174,73,22,0.41571930642249677
96,0.004840603053910103,0.8568836427129141,0.9899370647442433,0.20581958825224728,153,85,16,0.40881029408005315
97,0.0038034749873166115,0.8791330993511572,0.9668114856365548,0.19379914268527323,178,83,6,0.42970920040340865
98,0.0021691625613348307,0.9018825160218723,0.884149383103807,0.17383256249251197,183,77,10,0.4557999426536635
99,0.003916879403140057,0.8891528652808224,0.9608414887994655,0.21130970437464172,128,88,8,0.42059920279818225
100,0.004448567267847109,0.9083779037412788,0.9801773434328823,0.18156741346231536,143,113,16,0.4365469485796153
101,0.004888532167057425,0.9222131953084173,0.9885291745087675,0.24423852574022162,158,84,4,0.4154926580921606
102,0.005518772700766416,0.9049645336214187,0.984562538809013,0.26670389069029815,151,92,6,0.40616365687675715
103,0.0049026145488815735,0.8939064130171568,0.9733342388179519,0.2750739096872075,137,92,19,0.4057385224432206
104,0.004127201602336965,0.9025577857340233,0.9834652217849097,0.28304450598050823,130,95,6,0.5619841892769416
