trade_index,entry_time,bucket_mean_mfe,cumulative_mfe,fact_log_return,cumulative_fact_log_return
840,2026-02-01 18:09:00,0.006103633318063704,-0.15604510143648873,-0.006103633318063623,-0.15604510143648873
841,2026-02-01 18:48:00,0.006103633318063704,-0.16214873475455246,-0.006103633318063735,-0.16214873475455246
842,2026-02-01 19:17:00,0.006103633318063704,-0.1682523680726161,-0.006103633318063623,-0.1682523680726161
843,2026-02-01 20:13:00,0.006103633318063704,-0.17435600139067994,-0.006103633318063847,-0.17435600139067994
844,2026-02-01 20:28:00,0.006103633318063704,-0.16825236807261623,0.006103633318063704,-0.16825236807261623
845,2026-02-01 20:35:00,0.006103633318063704,-0.16214873475455252,0.006103633318063704,-0.16214873475455252
846,2026-02-01 20:39:00,0.006103633318063704,-0.16825236807261637,-0.006103633318063847,-0.16825236807261637
847,2026-02-01 20:52:00,0.006103633318063704,-0.17435600139068022,-0.006103633318063847,-0.17435600139068022
848,2026-02-01 21:06:00,0.006103633318063704,-0.18045963470874396,-0.006103633318063735,-0.18045963470874396
849,2026-02-01 21:19:00,0.006103633318063704,-0.17435600139068025,0.006103633318063704,-0.17435600139068025
850,2026-02-01 21:29:00,0.006103633318063704,-0.16825236807261654,0.006103633318063704,-0.16825236807261654
851,2026-02-01 21:37:00,0.006103633318063704,-0.1743560013906804,-0.006103633318063847,-0.1743560013906804
852,2026-02-01 21:57:00,0.006103633318063704,-0.16825236807261668,0.006103633318063704,-0.16825236807261668
853,2026-02-01 22:03:00,0.006103633318063704,-0.16214873475455296,0.006103633318063704,-0.16214873475455296
854,2026-02-01 22:11:00,0.006103633318063704,-0.1682523680726167,-0.006103633318063735,-0.1682523680726167
855,2026-02-01 22:22:00,0.006103633318063704,-0.162148734754553,0.006103633318063704,-0.162148734754553
856,2026-02-01 22:39:00,0.006103633318063704,-0.16825236807261673,-0.006103633318063735,-0.16825236807261673
857,2026-02-01 22:53:00,0.006103633318063704,-0.17435600139068047,-0.006103633318063735,-0.17435600139068047
858,2026-02-01 23:02:00,0.006103633318063704,-0.1804596347087442,-0.006103633318063735,-0.1804596347087442
859,2026-02-01 23:06:00,0.006103633318063704,-0.18656326802680795,-0.006103633318063735,-0.18656326802680795
860,2026-02-01 23:08:00,0.006103633318063704,-0.1926669013448718,-0.006103633318063847,-0.1926669013448718
861,2026-02-01 23:10:00,0.006103633318063704,-0.1865632680268081,0.006103633318063704,-0.1865632680268081
862,2026-02-01 23:13:00,0.006103633318063704,-0.19266690134487194,-0.006103633318063847,-0.19266690134487194
863,2026-02-01 23:16:00,0.006103633318063704,-0.18656326802680823,0.006103633318063704,-0.18656326802680823
864,2026-02-01 23:18:00,0.006103633318063704,-0.19266690134487197,-0.006103633318063735,-0.19266690134487197
865,2026-02-01 23:22:00,0.006103633318063704,-0.18656326802680825,0.006103633318063704,-0.18656326802680825
866,2026-02-01 23:24:00,0.006103633318063704,-0.18045963470874454,0.006103633318063704,-0.18045963470874454
867,2026-02-01 23:26:00,0.006103633318063704,-0.17435600139068083,0.006103633318063704,-0.17435600139068083
868,2026-02-01 23:34:00,0.006103633318063704,-0.16825236807261712,0.006103633318063704,-0.16825236807261712
869,2026-02-01 23:37:00,0.006103633318063704,-0.17435600139068086,-0.006103633318063735,-0.17435600139068086
870,2026-02-01 23:49:00,0.006103633318063704,-0.1804596347087446,-0.006103633318063735,-0.1804596347087446
871,2026-02-02 00:04:00,0.006103633318063704,-0.1743560013906809,0.006103633318063704,-0.1743560013906809
872,2026-02-02 00:08:00,0.006103633318063704,-0.16825236807261718,0.006103633318063704,-0.16825236807261718
873,2026-02-02 00:17:00,0.006103633318063704,-0.16214873475455346,0.006103633318063704,-0.16214873475455346
874,2026-02-02 00:39:00,0.006103633318063704,-0.1682523680726172,-0.006103633318063735,-0.1682523680726172
875,2026-02-02 01:09:00,0.006103633318063704,-0.17435600139068094,-0.006103633318063735,-0.17435600139068094
876,2026-02-02 01:12:00,0.006103633318063704,-0.16825236807261723,0.006103633318063704,-0.16825236807261723
877,2026-02-02 01:18:00,0.006103633318063704,-0.16214873475455352,0.006103633318063704,-0.16214873475455352
878,2026-02-02 01:25:00,0.006103633318063704,-0.16825236807261726,-0.006103633318063735,-0.16825236807261726
879,2026-02-02 01:49:00,0.006103633318063704,-0.16214873475455355,0.006103633318063704,-0.16214873475455355
880,2026-02-02 02:16:00,0.006103633318063704,-0.1682523680726173,-0.006103633318063735,-0.1682523680726173
881,2026-02-02 02:36:00,0.006103633318063704,-0.17435600139068114,-0.006103633318063847,-0.17435600139068114
882,2026-02-02 02:58:00,0.006103633318063704,-0.18045963470874476,-0.006103633318063623,-0.18045963470874476
883,2026-02-02 03:11:00,0.006103633318063704,-0.1865632680268085,-0.006103633318063735,-0.1865632680268085
884,2026-02-02 03:15:00,0.006103633318063704,-0.19266690134487224,-0.006103633318063735,-0.19266690134487224
885,2026-02-02 03:19:00,0.006103633318063704,-0.19877053466293598,-0.006103633318063735,-0.19877053466293598
886,2026-02-02 03:22:00,0.006103633318063704,-0.20487416798099972,-0.006103633318063735,-0.20487416798099972
887,2026-02-02 03:30:00,0.006103633318063704,-0.198770534662936,0.006103633318063704,-0.198770534662936
888,2026-02-02 03:34:00,0.006103633318063704,-0.20487416798099975,-0.006103633318063735,-0.20487416798099975
889,2026-02-02 03:37:00,0.006103633318063704,-0.19877053466293604,0.006103633318063704,-0.19877053466293604
890,2026-02-02 03:43:00,0.006103633318063704,-0.19266690134487233,0.006103633318063704,-0.19266690134487233
891,2026-02-02 03:48:00,0.006103633318063704,-0.18656326802680862,0.006103633318063704,-0.18656326802680862
892,2026-02-02 03:50:00,0.006103633318063704,-0.1804596347087449,0.006103633318063704,-0.1804596347087449
893,2026-02-02 03:54:00,0.006103633318063704,-0.1743560013906812,0.006103633318063704,-0.1743560013906812
894,2026-02-02 03:57:00,0.006103633318063704,-0.18045963470874493,-0.006103633318063735,-0.18045963470874493
895,2026-02-02 04:05:00,0.006103633318063704,-0.17435600139068122,0.006103633318063704,-0.17435600139068122
896,2026-02-02 04:10:00,0.006103633318063704,-0.18045963470874485,-0.006103633318063623,-0.18045963470874485
897,2026-02-02 04:13:00,0.006103633318063704,-0.17435600139068114,0.006103633318063704,-0.17435600139068114
898,2026-02-02 04:17:00,0.006103633318063704,-0.16825236807261743,0.006103633318063704,-0.16825236807261743
899,2026-02-02 04:23:00,0.006103633318063704,-0.1621487347545537,0.006103633318063704,-0.1621487347545537
900,2026-02-02 04:26:00,0.006103633318063704,-0.15604510143649,0.006103633318063704,-0.15604510143649
901,2026-02-02 04:32:00,0.006103633318063704,-0.1499414681184263,0.006103633318063704,-0.1499414681184263
902,2026-02-02 04:34:00,0.006103633318063704,-0.15604510143649003,-0.006103633318063735,-0.15604510143649003
903,2026-02-02 04:46:00,0.006103633318063704,-0.16214873475455377,-0.006103633318063735,-0.16214873475455377
904,2026-02-02 05:04:00,0.006103633318063704,-0.16825236807261762,-0.006103633318063847,-0.16825236807261762
905,2026-02-02 05:10:00,0.006103633318063704,-0.17435600139068136,-0.006103633318063735,-0.17435600139068136
906,2026-02-02 05:17:00,0.006103633318063704,-0.180459634708745,-0.006103633318063623,-0.180459634708745
