trial_no,param_hash,params,feature_k,objective_score,valid_ratio_p925,train_ratio_p925,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,elapsed_s,best_iteration,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees,p_feature_k
101,bb3728b0f0f3d270,"{'num_leaves': 25, 'max_depth': -1, 'min_child_samples': 255, 'min_child_weight': 0.015649251118213258, 'min_split_gain': 0.0, 'reg_alpha': 0.18596491678028096, 'reg_lambda': 23.258864988129062, 'subsample': 0.8489390047982653, 'colsample_bytree': 0.45714082691059216, 'learning_rate': 0.008140735359289001, 'max_bin': 127, 'path_smooth': 0.3297244409707481, 'extra_trees': True, 'feature_k': 80}",80,-1.1965889934247032,0.0,0.0,0.1392784397177675,0.0095201797895198,0.4444444444444444,0.0085424186618656,0.013592166133602,0.0049882802359411,1.3,178,25,-1,255,0.0156492511182132,0.0,0.1859649167802809,23.258864988129066,0.8489390047982653,0.4571408269105921,0.008140735359289,127,0.3297244409707481,True,80
102,c807f548b947e86d,"{'num_leaves': 15, 'max_depth': -1, 'min_child_samples': 379, 'min_child_weight': 0.005581702154284901, 'min_split_gain': 0.000467269373164535, 'reg_alpha': 2.0447605984628394, 'reg_lambda': 1.7795948553612508, 'subsample': 0.8365594284141061, 'colsample_bytree': 0.5150365557132233, 'learning_rate': 0.008286982442561161, 'max_bin': 63, 'path_smooth': 1.0611254921960929, 'extra_trees': True, 'feature_k': 86}",86,-1.1713828302003146,0.0,0.0,0.1109046704683327,0.0047886991356745,0.5555555555555556,0.0085469667403486,0.0135981193059817,0.0049940243932299,1.3,191,15,-1,379,0.0055817021542849,0.0004672693731645,2.0447605984628394,1.7795948553612508,0.8365594284141061,0.5150365557132233,0.0082869824425611,63,1.0611254921960929,True,86
103,c993a1e048cca492,"{'num_leaves': 34, 'max_depth': -1, 'min_child_samples': 203, 'min_child_weight': 0.06440418413278662, 'min_split_gain': 0.0, 'reg_alpha': 0.01158634138454291, 'reg_lambda': 1.6175905799658297, 'subsample': 0.5083409555926544, 'colsample_bytree': 0.42967791290859053, 'learning_rate': 0.008458511042274248, 'max_bin': 63, 'path_smooth': 2.0822686115275686, 'extra_trees': True, 'feature_k': 83}",83,-1.241544928821886,0.0,0.0,0.1351966113965426,0.0248270898378955,0.5555555555555556,0.008536894934965,0.0135805392090579,0.0049816369563186,1.6,163,34,-1,203,0.0644041841327866,0.0,0.0115863413845429,1.6175905799658297,0.5083409555926544,0.4296779129085905,0.0084585110422742,63,2.0822686115275686,True,83
104,6239c1b5df2d829c,"{'num_leaves': 41, 'max_depth': 8, 'min_child_samples': 442, 'min_child_weight': 0.017057665663329325, 'min_split_gain': 0.0, 'reg_alpha': 0.0022914218921294316, 'reg_lambda': 3.1380041098861855, 'subsample': 0.6210652628368337, 'colsample_bytree': 0.37156255235858254, 'learning_rate': 0.011403529050774757, 'max_bin': 63, 'path_smooth': 2.029888963959071, 'extra_trees': True, 'feature_k': 81}",81,-1.2135612918558727,0.0,0.0,0.1462828586456828,0.0195254696934375,0.5555555555555556,0.0085428509090194,0.0135881317491374,0.0049901844497287,1.1,125,41,8,442,0.0170576656633293,0.0,0.0022914218921294,3.138004109886185,0.6210652628368337,0.3715625523585825,0.0114035290507747,63,2.029888963959071,True,81
105,a91d8ab8ca88712e,"{'num_leaves': 26, 'max_depth': -1, 'min_child_samples': 265, 'min_child_weight': 0.05046505461132068, 'min_split_gain': 0.0, 'reg_alpha': 0.06522811639302285, 'reg_lambda': 1.2220574292113449, 'subsample': 0.5306253038078692, 'colsample_bytree': 0.6801646762734569, 'learning_rate': 0.00566976659562877, 'max_bin': 63, 'path_smooth': 1.4693951550215625, 'extra_trees': True, 'feature_k': 75}",75,-1.2063248787960332,0.0,0.0,0.1200434230656086,0.0188166560942738,0.5555555555555556,0.0085414353809973,0.0135876831270328,0.0049890784473696,1.6,208,26,-1,265,0.0504650546113206,0.0,0.0652281163930228,1.2220574292113449,0.5306253038078692,0.6801646762734569,0.0056697665956287,63,1.4693951550215625,True,75
106,437cd09aeba5b4a5,"{'num_leaves': 10, 'max_depth': -1, 'min_child_samples': 355, 'min_child_weight': 0.0009720231441039985, 'min_split_gain': 0.0006969357966013873, 'reg_alpha': 0.01689685722808985, 'reg_lambda': 1.7514595384617109, 'subsample': 0.8116730095497753, 'colsample_bytree': 0.6363426801206752, 'learning_rate': 0.009987430735104719, 'max_bin': 127, 'path_smooth': 0.02179911749622048, 'extra_trees': True, 'feature_k': 78}",78,-1.1007377439379544,0.0,0.0,0.163774485722643,-0.0067209678368853,0.4444444444444444,0.0085526799722108,0.0136015050891941,0.0050028848376886,1.0,125,10,-1,355,0.0009720231441039,0.0006969357966013,0.0168968572280898,1.7514595384617109,0.8116730095497753,0.6363426801206752,0.0099874307351047,127,0.0217991174962204,True,78
107,1c914fcaa1f5cdf6,"{'num_leaves': 27, 'max_depth': -1, 'min_child_samples': 415, 'min_child_weight': 0.015529834890459416, 'min_split_gain': 0.0, 'reg_alpha': 0.052526008688022735, 'reg_lambda': 9.351853412515926, 'subsample': 0.9443554512728075, 'colsample_bytree': 0.7115062326468706, 'learning_rate': 0.005101063603243723, 'max_bin': 127, 'path_smooth': 1.3760085743634067, 'extra_trees': False, 'feature_k': 78}",78,-1.078461666735755,0.0,0.0,0.1379089191500009,0.0122727372291314,0.4444444444444444,0.0085538329228357,0.0135958020089954,0.0050087231107703,1.8,105,27,-1,415,0.0155298348904594,0.0,0.0525260086880227,9.351853412515926,0.9443554512728076,0.7115062326468706,0.0051010636032437,127,1.3760085743634067,False,78
108,c154318620c7506c,"{'num_leaves': 55, 'max_depth': 8, 'min_child_samples': 426, 'min_child_weight': 0.00921139871626374, 'min_split_gain': 0.0, 'reg_alpha': 0.004406758491313783, 'reg_lambda': 5.436680526782802, 'subsample': 0.6461009042708133, 'colsample_bytree': 0.3565997213034567, 'learning_rate': 0.005749964551628086, 'max_bin': 63, 'path_smooth': 6.097298901657588, 'extra_trees': True, 'feature_k': 78}",78,-1.1870143636647732,0.0,0.0,0.1510916751640874,0.0091536660965715,0.4444444444444444,0.0085491284214039,0.0135913542818445,0.0050005941944403,1.2,174,55,8,426,0.0092113987162637,0.0,0.0044067584913137,5.436680526782802,0.6461009042708133,0.3565997213034567,0.005749964551628,63,6.097298901657588,True,78
109,2f2e2008e4fa6fb4,"{'num_leaves': 13, 'max_depth': -1, 'min_child_samples': 347, 'min_child_weight': 0.03643925132628342, 'min_split_gain': 0.0, 'reg_alpha': 0.0047272260826962545, 'reg_lambda': 2.53950083857028, 'subsample': 0.5300347415087845, 'colsample_bytree': 0.38974072180837843, 'learning_rate': 0.014630104503865574, 'max_bin': 63, 'path_smooth': 1.6789238044915509, 'extra_trees': True, 'feature_k': 79}",79,-1.1002488516792213,0.0,0.0,0.1860895871465719,-0.0042261862239548,0.3333333333333333,0.0085514851233801,0.0135968703290911,0.005001489676811,0.8,92,13,-1,347,0.0364392513262834,0.0,0.0047272260826962,2.53950083857028,0.5300347415087845,0.3897407218083784,0.0146301045038655,63,1.6789238044915509,True,79
110,677527435f77e73f,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 362, 'min_child_weight': 0.007691930408023687, 'min_split_gain': 0.0007078786918195485, 'reg_alpha': 0.28387874293264836, 'reg_lambda': 1.4950816101288171, 'subsample': 0.6730462926531122, 'colsample_bytree': 0.49273088912314433, 'learning_rate': 0.005963527110983348, 'max_bin': 63, 'path_smooth': 0.5500865702693457, 'extra_trees': True, 'feature_k': 77}",77,-1.1891210477846277,0.0,0.0,0.1668399138197023,0.0105647484392262,0.5555555555555556,0.0085523871914694,0.01360179113923,0.0050023039094704,1.4,439,4,2,362,0.0076919304080236,0.0007078786918195,0.2838787429326483,1.4950816101288171,0.6730462926531122,0.4927308891231443,0.0059635271109833,63,0.5500865702693457,True,77
