fold,pvalue_rounds,actual_rounds,selected_features,max_pvalue,is_stable,removed_features,train_roc_auc,train_pr_auc,train_brier_score,train_log_loss,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss
3,4,2,12,0.00028005799043707497,True,35,0.7178445717488795,0.33650816877042855,0.10531969528210668,0.3589928666090256,0.6514223755710304,0.1056445638234662,0.04654273549233016,0.19195593415374454
4,0,0,47,0.9999999215996561,False,0,0.7278656184704551,0.3347820479751082,0.09978579773325504,0.34242208737705326,0.7272644551946557,0.2682344817197604,0.08138034853634463,0.2976276142725113
4,1,1,14,0.03196565998138936,False,33,0.7260495266658512,0.331944551384396,0.10001275276890442,0.3433295222513192,0.7243699608385165,0.26569010206398264,0.08148087520880579,0.2965610201592634
4,2,2,13,0.0003994954247695988,True,34,0.725628799312193,0.3315553656872109,0.10004832412886266,0.3435046766117398,0.7283010826998387,0.26772216408290145,0.08141775065397565,0.2958297314989024
4,3,2,13,0.0003994954247695988,True,34,0.725628799312193,0.3315553656872109,0.10004832412886266,0.3435046766117398,0.7283010826998387,0.26772216408290145,0.08141775065397565,0.2958297314989024
4,4,2,13,0.0003994954247695988,True,34,0.725628799312193,0.3315553656872109,0.10004832412886266,0.3435046766117398,0.7283010826998387,0.26772216408290145,0.08141775065397565,0.2958297314989024
5,0,0,47,1.0,False,0,0.7280681172026011,0.3282867471861172,0.09762952843345413,0.3364399730288562,0.7373648299574226,0.2792453554520104,0.10040084154711448,0.34169499629059635
5,1,1,16,0.9489000341600546,False,31,0.7262808557547862,0.32627912700711015,0.09786707594274971,0.3375828631839673,0.7301741696803425,0.27783486632511545,0.10001152165418688,0.3413679438332455
5,2,2,13,0.00014491916450489647,True,34,0.7270227611356189,0.3262728690632933,0.09786066533623744,0.3374377880103239,0.7293463737908183,0.27932914212505694,0.09990996459660992,0.34150919493796766
5,3,2,13,0.00014491916450489647,True,34,0.7270227611356189,0.3262728690632933,0.09786066533623744,0.3374377880103239,0.7293463737908183,0.27932914212505694,0.09990996459660992,0.34150919493796766
5,4,2,13,0.00014491916450489647,True,34,0.7270227611356189,0.3262728690632933,0.09786066533623744,0.3374377880103239,0.7293463737908183,0.27932914212505694,0.09990996459660992,0.34150919493796766
6,0,0,47,1.0,False,0,0.7297841544821784,0.32343722370227646,0.09781074359932544,0.33667831399204723,0.6890298820949506,0.15808124633215265,0.06443996331818189,0.24900775553525217
6,1,1,19,0.13849248473799317,False,28,0.7287469127452177,0.32254557543398205,0.09791710850762937,0.33726932226153744,0.6888937145786461,0.1605528546259158,0.0647293293022859,0.2509814354008235
6,2,2,18,0.008220866908503164,True,29,0.7286659423642946,0.3224927314371847,0.09792443969807751,0.33732461316596846,0.6895505225984677,0.16089673736826474,0.0647233582784486,0.25091028976952384
6,3,2,18,0.008220866908503164,True,29,0.7286659423642946,0.3224927314371847,0.09792443969807751,0.33732461316596846,0.6895505225984677,0.16089673736826474,0.0647233582784486,0.25091028976952384
6,4,2,18,0.008220866908503164,True,29,0.7286659423642946,0.3224927314371847,0.09792443969807751,0.33732461316596846,0.6895505225984677,0.16089673736826474,0.0647233582784486,0.25091028976952384
7,0,0,47,1.0,False,0,0.7300675140571791,0.3132540797787677,0.09416538554905754,0.32691103096479385,0.7188177234436715,0.2526952692601926,0.09678500729076915,0.33280584314544975
7,1,1,18,0.38909998848574656,False,29,0.7285002309865104,0.3121111558425567,0.09429166015352869,0.32761395051891823,0.7197527438917823,0.2520260503230821,0.09681702801815549,0.33300838944548394
7,2,2,17,0.003798896702376213,True,30,0.728480775322721,0.3120844994725898,0.09429376801492605,0.3276292313780521,0.7196467894718446,0.252222310398597,0.09681705730128853,0.3330551505317708
7,3,2,17,0.003798896702376213,True,30,0.728480775322721,0.3120844994725898,0.09429376801492605,0.3276292313780521,0.7196467894718446,0.252222310398597,0.09681705730128853,0.3330551505317708
7,4,2,17,0.003798896702376213,True,30,0.728480775322721,0.3120844994725898,0.09429376801492605,0.3276292313780521,0.7196467894718446,0.252222310398597,0.09681705730128853,0.3330551505317708
