trial_no,param_hash,params,objective_score,valid_ratio_p925,train_ratio_p925,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,elapsed_s,best_iteration,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees
38,2f81f1a55076702b,"{'num_leaves': 32, 'max_depth': 5, 'min_child_samples': 3632, 'min_child_weight': 0.00010248191003777782, 'min_split_gain': 0.0, 'reg_alpha': 0.01955578457599302, 'reg_lambda': 2.1414188713077134, 'subsample': 0.6951156419549301, 'colsample_bytree': 0.5445640385830557, 'learning_rate': 0.010320144320496782, 'max_bin': 63, 'path_smooth': 0.1266806305379664, 'extra_trees': True}",-1.9215286015823712,1.9215286015823712,2.579981975526125,0.6584533739437537,0.2895420707595498,1.0,0.0103650223587962,0.0162395298538396,0.0087256891985174,3.0,1362,32,5,3632,0.0001024819100377,0.0,0.019555784575993,2.1414188713077134,0.6951156419549301,0.5445640385830557,0.0103201443204967,63,0.1266806305379664,True
39,32bc8e4999e3c623,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 909, 'min_child_weight': 0.006118480006597981, 'min_split_gain': 1.0024170599330025e-05, 'reg_alpha': 0.6019731134181744, 'reg_lambda': 4.168504033632023, 'subsample': 0.6572553504414408, 'colsample_bytree': 0.7278020528158556, 'learning_rate': 0.02042994045086573, 'max_bin': 63, 'path_smooth': 0.18660947440838233, 'extra_trees': True}",-1.939779810147579,1.939779810147579,2.597661995108276,0.6578821849606968,0.2926983865666607,1.0,0.0099937512845859,0.0162568987296124,0.0084362496620851,2.0,950,4,2,909,0.0061184800065979,1.0024170599330025e-05,0.6019731134181744,4.168504033632023,0.6572553504414408,0.7278020528158556,0.0204299404508657,63,0.1866094744083823,True
40,1f3320ce018db643,"{'num_leaves': 5, 'max_depth': 8, 'min_child_samples': 749, 'min_child_weight': 0.001805102525635431, 'min_split_gain': 1.1814820573198365e-05, 'reg_alpha': 0.8940429332528059, 'reg_lambda': 2.8699610617732807, 'subsample': 0.7579441767988856, 'colsample_bytree': 0.5998956794708095, 'learning_rate': 0.025131693540171314, 'max_bin': 63, 'path_smooth': 0.14493081905036215, 'extra_trees': True}",-1.914027145565194,1.914027145565194,2.5907087308344496,0.6766815852692556,0.2936581755446991,1.0,0.0099902200093787,0.016241924631692,0.0084512724466359,1.2,460,5,8,749,0.0018051025256354,1.1814820573198363e-05,0.8940429332528059,2.8699610617732807,0.7579441767988856,0.5998956794708095,0.0251316935401713,63,0.1449308190503621,True
41,6471b537738654c6,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 297, 'min_child_weight': 0.027703984493632473, 'min_split_gain': 1.0508460589916147e-05, 'reg_alpha': 0.20608733854801342, 'reg_lambda': 9.878610663005636, 'subsample': 0.6465389911097904, 'colsample_bytree': 0.7263331821264948, 'learning_rate': 0.010005684014526625, 'max_bin': 63, 'path_smooth': 0.08851205184618248, 'extra_trees': True}",-1.923399231701712,1.923399231701712,2.5964724698353283,0.6730732381336166,0.2945025763558661,1.0,0.0099611709725367,0.0162165881219912,0.0084327646958493,2.6,1353,4,2,297,0.0277039844936324,1.0508460589916149e-05,0.2060873385480134,9.878610663005636,0.6465389911097904,0.7263331821264948,0.0100056840145266,63,0.0885120518461824,True
42,b2da01dfc6774d5f,"{'num_leaves': 4, 'max_depth': -1, 'min_child_samples': 455, 'min_child_weight': 0.02737755746713223, 'min_split_gain': 1.0437024376937838e-05, 'reg_alpha': 0.20039088110667705, 'reg_lambda': 1.120249123629668, 'subsample': 0.766443232053835, 'colsample_bytree': 0.7224207687615027, 'learning_rate': 0.025466458978746647, 'max_bin': 63, 'path_smooth': 0.3014847558875668, 'extra_trees': False}",-1.921825217091168,1.921825217091168,2.6196033804635754,0.6977781633724081,0.2931135335078081,1.0,0.009959343448403,0.0162270172516415,0.0084515542756439,0.8,250,4,-1,455,0.0273775574671322,1.0437024376937838e-05,0.200390881106677,1.120249123629668,0.766443232053835,0.7224207687615027,0.0254664589787466,63,0.3014847558875668,False
43,638feb399c1cd48e,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 1552, 'min_child_weight': 0.005186939346074235, 'min_split_gain': 5.053412831477655e-05, 'reg_alpha': 0.1796437708948348, 'reg_lambda': 3.0840975273696083, 'subsample': 0.7930841917117468, 'colsample_bytree': 0.7784915985288072, 'learning_rate': 0.016283375911802393, 'max_bin': 63, 'path_smooth': 4.598403325456383, 'extra_trees': True}",-1.920584261727308,1.920584261727308,2.6053207233774227,0.6847364616501148,0.2932833687777664,1.0,0.010017477825288,0.0162137480493703,0.0084660097149049,2.1,1051,4,2,1552,0.0051869393460742,5.053412831477655e-05,0.1796437708948348,3.0840975273696083,0.7930841917117468,0.7784915985288072,0.0162833759118023,63,4.598403325456383,True
44,d57a96b09ac5cca4,"{'num_leaves': 3, 'max_depth': 2, 'min_child_samples': 3360, 'min_child_weight': 0.0005666658477694835, 'min_split_gain': 6.499146545644792e-05, 'reg_alpha': 0.34875975229633144, 'reg_lambda': 7.5927625282459, 'subsample': 0.6620818993829922, 'colsample_bytree': 0.7047235246429495, 'learning_rate': 0.0241187872614268, 'max_bin': 63, 'path_smooth': 0.475490571590223, 'extra_trees': True}",-1.915780785629652,1.915780785629652,2.5811124005744466,0.6653316149447952,0.2890414522348172,1.0,0.0103640777096518,0.0162151131517116,0.0087145348348213,1.4,521,3,2,3360,0.0005666658477694,6.499146545644792e-05,0.3487597522963314,7.5927625282459,0.6620818993829922,0.7047235246429495,0.0241187872614268,63,0.475490571590223,True
45,b7e6a653ee130774,"{'num_leaves': 11, 'max_depth': 5, 'min_child_samples': 6419, 'min_child_weight': 0.0005984353795284138, 'min_split_gain': 0.0, 'reg_alpha': 0.007505837812222605, 'reg_lambda': 4.3613839902362646, 'subsample': 0.6469766201750194, 'colsample_bytree': 0.49673445782373615, 'learning_rate': 0.012754915622927882, 'max_bin': 127, 'path_smooth': 0.001075193907735558, 'extra_trees': False}",-1.934160648439296,1.934160648439296,2.3117235638567712,0.3775629154174751,0.2664503132838077,1.0,0.0105972839871957,0.0162098364914746,0.0090089930423854,1.2,579,11,5,6419,0.0005984353795284,0.0,0.0075058378122226,4.3613839902362646,0.6469766201750194,0.4967344578237361,0.0127549156229278,127,0.0010751939077355,False
46,a7509cd84ea7323c,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 515, 'min_child_weight': 0.025020203885624884, 'min_split_gain': 1.0401701484557657e-05, 'reg_alpha': 5.681301703252183, 'reg_lambda': 1.378293526369909, 'subsample': 0.6222902091838243, 'colsample_bytree': 0.6998140372700727, 'learning_rate': 0.02975156854816735, 'max_bin': 63, 'path_smooth': 0.15581123810093708, 'extra_trees': True}",-1.9155611825157464,1.9155611825157464,2.6029403390021835,0.6873791564864371,0.2932803781409595,1.0,0.0099594032516298,0.0162211229652405,0.0084234197661875,1.2,537,4,2,515,0.0250202038856248,1.0401701484557656e-05,5.681301703252183,1.378293526369909,0.6222902091838243,0.6998140372700727,0.0297515685481673,63,0.155811238100937,True
47,0c1b0c63575a8bcd,"{'num_leaves': 29, 'max_depth': 5, 'min_child_samples': 3995, 'min_child_weight': 0.0009635302789560132, 'min_split_gain': 0.0, 'reg_alpha': 0.0067002133545814024, 'reg_lambda': 1.9501395608356609, 'subsample': 0.6043849286558296, 'colsample_bytree': 0.6405564533114014, 'learning_rate': 0.012496610786012668, 'max_bin': 63, 'path_smooth': 0.003263636455782067, 'extra_trees': False}",-1.9345861014315184,1.9345861014315184,2.534309729782676,0.5997236283511576,0.2812651494923315,1.0,0.0103993031776343,0.0162456579063791,0.0087542362169435,1.4,525,29,5,3995,0.000963530278956,0.0,0.0067002133545814,1.9501395608356609,0.6043849286558296,0.6405564533114014,0.0124966107860126,63,0.003263636455782,False
