direction,entry_cutoff,tp_spec,sl_spec,n_trades,total_fact_log_return,avg_fact_log_return,compounded_return_pct,win_rate,avg_hold_minutes
short,0.97,bucket_mean_mfe,1.5x_tp,105,-0.39398702905747907,-0.0037522574195950386,-32.56371966951248,0.45714285714285713,30.0
short,0.98,bucket_mean_mfe,1.5x_tp,73,-0.3677997327143158,-0.005038352502935833,-30.774419600162382,0.4520547945205479,27.561643835616437
short,0.99,bucket_mean_mfe,1.5x_tp,45,-0.19456164011949195,-0.004323592002655377,-17.680456517234422,0.4666666666666667,21.155555555555555
short,0.9,bucket_mean_mfe,2.0x_tp,445,-0.14998890271241533,-0.00033705371396048386,-13.928247199800314,0.49213483146067416,47.337078651685395
short,0.92,bucket_mean_mfe,2.0x_tp,340,-0.0592433658746178,-0.0001742451937488759,-5.752262558572596,0.5029411764705882,44.40294117647059
short,0.94,bucket_mean_mfe,2.0x_tp,228,-0.058220157905659035,-0.00025535156976166245,-5.655778169186043,0.5350877192982456,42.666666666666664
short,0.95,bucket_mean_mfe,2.0x_tp,176,-0.18067943005356785,-0.0010265876707589083,-16.52971035259777,0.5227272727272727,41.32954545454545
short,0.96,bucket_mean_mfe,2.0x_tp,135,-0.13495479791567608,-0.0009996651697457488,-12.624459363903629,0.5259259259259259,38.148148148148145
short,0.97,bucket_mean_mfe,2.0x_tp,90,-0.2046376878737572,-0.002273752087486191,-18.505747351137238,0.5,35.86666666666667
short,0.98,bucket_mean_mfe,2.0x_tp,63,-0.28167449922255117,-0.004471023797183352,-24.548075883391697,0.49206349206349204,34.317460317460316
short,0.99,bucket_mean_mfe,2.0x_tp,41,-0.17546216121244446,-0.004279564907620596,-16.093085406804985,0.5121951219512195,24.878048780487806
short,0.9,bucket_median_mfe,none,508,0.04249975820026235,8.366094133909911e-05,4.341580407598,0.5708661417322834,41.482283464566926
short,0.92,bucket_median_mfe,none,374,-0.09858747310049001,-0.0002636028692526471,-9.388357166581617,0.5802139037433155,40.22727272727273
short,0.94,bucket_median_mfe,none,260,0.20435045556988649,0.0007859632906534095,22.672799178965054,0.6230769230769231,37.0
short,0.95,bucket_median_mfe,none,197,0.010209035116483325,5.182251328164124e-05,1.0261325107450592,0.6192893401015228,36.40609137055838
short,0.96,bucket_median_mfe,none,143,-0.13000953627699763,-0.0009091575963426408,-12.191294280077114,0.6293706293706294,35.07692307692308
short,0.97,bucket_median_mfe,none,88,-0.3052370017739513,-0.00346860229288581,-26.30513044553081,0.6022727272727273,36.47727272727273
short,0.98,bucket_median_mfe,none,61,-0.14572412680976027,-0.002388920111635414,-13.560386598608487,0.5901639344262295,37.032786885245905
short,0.99,bucket_median_mfe,none,34,-0.03773650236082421,-0.0011098971282595355,-3.7033353097672084,0.6470588235294118,29.294117647058822
short,0.9,bucket_median_mfe,0.5x_tp,1193,-0.23482758857902972,-0.0001968378781048028,-20.92928351768918,0.3344509639564124,13.85666387259011
short,0.92,bucket_median_mfe,0.5x_tp,911,-0.14548027631032664,-0.00015969294874898643,-13.539305685518578,0.33150384193194293,12.275521405049396
short,0.94,bucket_median_mfe,0.5x_tp,652,-0.10659380355503424,-0.00016348742876538995,-10.110927493920807,0.32975460122699385,10.357361963190185
short,0.95,bucket_median_mfe,0.5x_tp,520,-0.0589266766761682,-0.00011332053206955423,-5.722410591498317,0.3326923076923077,8.907692307692308
short,0.96,bucket_median_mfe,0.5x_tp,415,-0.08674455044176355,-0.00020902301311268324,-8.30887096965337,0.327710843373494,8.096385542168674
short,0.97,bucket_median_mfe,0.5x_tp,297,-0.32026828397227386,-0.0010783443904790367,-27.404575094401817,0.2727272727272727,5.9393939393939394
short,0.98,bucket_median_mfe,0.5x_tp,186,-0.2680204394783153,-0.001440970104722125,-23.510785305336345,0.25268817204301075,5.28494623655914
