fold,alpha,C,selected_features,train_roc_auc,train_pr_auc,train_brier_score,valid_roc_auc,valid_pr_auc,valid_brier_score,train_log_loss,valid_log_loss
5,750.0,0.0013333333333333333,4,0.7536526327369641,0.31227203848903823,0.09216743889044306,0.7570570682581127,0.2587460753928745,0.09537531630552042,0.32511709043554393,0.3316997177329622
5,1000.0,0.001,3,0.7532150119453513,0.31190890768036855,0.09315354386747951,0.7570027175361005,0.25816325774833243,0.09606184803480941,0.32949414999091503,0.335703418132589
6,30.0,0.03333333333333333,30,0.7490537812219701,0.30696886528543027,0.0901780988471775,0.6800356141224576,0.17443356487335845,0.06313293414961192,0.312620714982242,0.24237409285478514
6,60.0,0.016666666666666666,23,0.7497328735983452,0.3072102007703899,0.09025476932603403,0.6804377883204026,0.17322458453481224,0.06318618698635656,0.3131394091585247,0.2427890477796317
6,100.0,0.01,18,0.7506199427601756,0.3075289362326963,0.09039594733930231,0.6800552723317257,0.17287262023820518,0.06325550629232715,0.31399728998808113,0.24336499959580457
6,150.0,0.006666666666666667,14,0.751950166887691,0.30826268728435263,0.09054118800803963,0.6809063089746278,0.1721483420443558,0.06336094983534171,0.31492412179427737,0.24407357673495594
6,220.0,0.004545454545454545,13,0.7535435560010318,0.3088826513429588,0.09079017500669871,0.6816467681903963,0.1701600189589162,0.06352653710430234,0.3164764381967896,0.2451651714834397
6,330.0,0.0030303030303030303,7,0.7525759036889457,0.3068412800145658,0.09132377537773848,0.6810119718494445,0.1663224024428949,0.06388074550418765,0.31945773053690135,0.24736434360815568
6,500.0,0.002,4,0.754224055571795,0.3069688690245097,0.09169832448912454,0.6857741730446635,0.16533755605641096,0.06453081531039999,0.3217240950424454,0.2514280489501131
6,750.0,0.0013333333333333333,3,0.7538961530990318,0.3067349531866057,0.09226003907862011,0.6833914342629483,0.16311266081847442,0.0653236132206564,0.3246989826343189,0.2559418947592087
6,1000.0,0.001,3,0.7539417527422928,0.3066151513696934,0.09299472925860876,0.6831620884881526,0.1631529368338322,0.06622045615321139,0.32814436131813923,0.2606776957974105
7,30.0,0.03333333333333333,28,0.7470391443037117,0.2994673041630706,0.08746500958382653,0.7054296234303,0.263165706712702,0.10233206596344666,0.3053844992258519,0.34896380569426944
7,60.0,0.016666666666666666,25,0.7477803880912312,0.2996367887162981,0.08753183079604442,0.7067888594090985,0.26504484075425655,0.10236326558036145,0.3058238979246037,0.34910120345764795
7,100.0,0.01,19,0.7485830711382617,0.29995254240270414,0.08765265998186288,0.7078241144686416,0.26793916700987397,0.10239096961272783,0.3065872313569807,0.3493681280191503
7,150.0,0.006666666666666667,13,0.7495605847369176,0.3004846567662028,0.0877992165547297,0.7085987009107079,0.2681708078901059,0.10249066042993718,0.3074927094403205,0.3498782013486717
7,220.0,0.004545454545454545,12,0.7508768345870163,0.3009827448840647,0.08802070285065744,0.7095043636025491,0.26875446298704514,0.10258374440027017,0.30888345846533416,0.3504417627703091
7,330.0,0.0030303030303030303,8,0.7501048848875361,0.29916625105894556,0.08848047991172492,0.7096789670597966,0.2666418032387289,0.10267889837528059,0.31148680016971775,0.3511837496566023
7,500.0,0.002,5,0.7516720551536561,0.29859746442874985,0.08882823316772469,0.7106786089495896,0.26644121792583214,0.10254425811730285,0.3135643630250035,0.3511950910501932
7,750.0,0.0013333333333333333,3,0.7510011507309376,0.297993131922223,0.08932996367879434,0.7106479420534157,0.26605012312515375,0.10270850311602327,0.31634386559878186,0.3524566291788242
7,1000.0,0.001,3,0.7510003057147756,0.29782444453650847,0.0899181247683092,0.7107364803504336,0.2663333256762076,0.103043563129645,0.3192471784524445,0.3541665230468155
