trial_no,param_hash,params,objective_score,mean_top10_lift,std_top10_lift,mean_spearman_rho,mean_decile_monotonicity,mean_valid_rmse,std_valid_rmse,mean_train_rmse,mean_valid_mae,elapsed_s,p_num_leaves,p_max_depth,p_min_child_samples,p_min_child_weight,p_min_split_gain,p_reg_alpha,p_reg_lambda,p_subsample,p_colsample_bytree,p_learning_rate,p_max_bin,p_path_smooth,p_extra_trees,valid_top10_lift,train_top10_lift,train_valid_gap,spearman_rho,decile_monotonicity,valid_rmse,train_rmse,valid_mae,best_iteration
13,b698b58bc234acb8,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 397, 'min_child_weight': 0.0001325334260006654, 'min_split_gain': 0.0, 'reg_alpha': 0.2309786149269357, 'reg_lambda': 22.65315641394886, 'subsample': 0.4582939144639281, 'colsample_bytree': 0.6572558349795685, 'learning_rate': 0.008422980195004657, 'max_bin': 63, 'path_smooth': 0.5804314717414073, 'extra_trees': True}",-0.0022792142128367,,,,,,,,,11.5,4,2,397,0.0001325334260006,0.0,0.2309786149269357,22.65315641394886,0.4582939144639281,0.6572558349795685,0.0084229801950046,63,0.5804314717414073,True,0.0022792142128367,0.0046829584839365,0.0024037442710997,0.2969132298672589,1.0,0.0067183560668993,0.0099819783027633,0.0037917722854262,1892.0
14,688b8cec495a9d9c,"{'num_leaves': 4, 'max_depth': 3, 'min_child_samples': 487, 'min_child_weight': 0.00019024283247489598, 'min_split_gain': 0.0, 'reg_alpha': 3.8802797007866876, 'reg_lambda': 63.217324901440215, 'subsample': 0.766550728636634, 'colsample_bytree': 0.5534178746292204, 'learning_rate': 0.01117325161547258, 'max_bin': 127, 'path_smooth': 3.534644144196584, 'extra_trees': False}",-0.0019975380502004,,,,,,,,,9.7,4,3,487,0.0001902428324748,0.0,3.880279700786688,63.217324901440215,0.766550728636634,0.5534178746292204,0.0111732516154725,127,3.534644144196584,False,0.0019975380502004,0.0044677077441997,0.0024701696939992,0.2758616664049546,0.8888888888888888,0.0067453289669491,0.010044393418299,0.0038939085837255,2983.0
15,6aed064086048ef3,"{'num_leaves': 3, 'max_depth': 2, 'min_child_samples': 2214, 'min_child_weight': 0.0004707690774317695, 'min_split_gain': 0.005855726588796253, 'reg_alpha': 0.7058572590901792, 'reg_lambda': 2.9819350171149352, 'subsample': 0.6126998490796338, 'colsample_bytree': 0.7978948430708144, 'learning_rate': 0.02231530892246258, 'max_bin': 63, 'path_smooth': 0.18760068220300655, 'extra_trees': True}",-0.0020054845577003,,,,,,,,,2.3,3,2,2214,0.0004707690774317,0.0058557265887962,0.7058572590901792,2.9819350171149352,0.6126998490796338,0.7978948430708144,0.0223153089224625,63,0.1876006822030065,True,0.0020054845577003,0.0045511628650832,0.0025456783073829,0.2878075275132773,1.0,0.0067967115161316,0.01024034854316,0.0040104700726211,524.0
16,90e29d509c873575,"{'num_leaves': 4, 'max_depth': 2, 'min_child_samples': 410, 'min_child_weight': 0.014701320504898972, 'min_split_gain': 0.0, 'reg_alpha': 0.013276678836047658, 'reg_lambda': 1.11848955516645, 'subsample': 0.7727361479535839, 'colsample_bytree': 0.4562664076442293, 'learning_rate': 0.043594187591361626, 'max_bin': 63, 'path_smooth': 0.03024369161272648, 'extra_trees': True}",-0.0023403477309288,,,,,,,,,2.2,4,2,410,0.0147013205048989,0.0,0.0132766788360476,1.11848955516645,0.7727361479535839,0.4562664076442293,0.0435941875913616,63,0.0302436916127264,True,0.0023403477309288,0.004746334356843,0.0024059866259142,0.3011686188509421,1.0,0.0067070899742397,0.0099189152462339,0.0037632569855338,586.0
17,5ef5910063de2e7c,"{'num_leaves': 10, 'max_depth': -1, 'min_child_samples': 2605, 'min_child_weight': 0.005130781383387444, 'min_split_gain': 0.05554169083020911, 'reg_alpha': 0.0024474057445796832, 'reg_lambda': 16.983001712559073, 'subsample': 0.9450269250521316, 'colsample_bytree': 0.4340504091419144, 'learning_rate': 0.016492999913537285, 'max_bin': 63, 'path_smooth': 0.6138509947844857, 'extra_trees': False}",-0.0013007281744667,,,,,,,,,1.0,10,-1,2605,0.0051307813833874,0.0555416908302091,0.0024474057445796,16.983001712559073,0.9450269250521316,0.4340504091419144,0.0164929999135372,63,0.6138509947844857,False,0.0013007281744667,0.0038905728322428,0.002589844657776,0.2569490823741318,1.0,0.0069909747204898,0.0103071149367653,0.0044496800833967,244.0
18,2d9b666085486e87,"{'num_leaves': 6, 'max_depth': 4, 'min_child_samples': 5331, 'min_child_weight': 0.001032726855012838, 'min_split_gain': 0.015246518242848608, 'reg_alpha': 0.03179302199939539, 'reg_lambda': 1.5415722348909036, 'subsample': 0.7391400704980869, 'colsample_bytree': 0.3715653642780452, 'learning_rate': 0.014607235210304931, 'max_bin': 63, 'path_smooth': 0.23085168151108015, 'extra_trees': True}",-0.0017937999309842,,,,,,,,,2.2,6,4,5331,0.0010327268550128,0.0152465182428486,0.0317930219993953,1.5415722348909036,0.7391400704980869,0.3715653642780452,0.0146072352103049,63,0.2308516815110801,True,0.0017937999309842,0.0043987077156206,0.0026049077846363,0.2691459036172015,1.0,0.0068285743571534,0.0103837561829641,0.0040884419897955,626.0
19,025f51554cc856f9,"{'num_leaves': 16, 'max_depth': 4, 'min_child_samples': 2098, 'min_child_weight': 0.015075579010793662, 'min_split_gain': 0.0014539199187561544, 'reg_alpha': 8.005866020696466, 'reg_lambda': 10.779551620950164, 'subsample': 0.6114782364706229, 'colsample_bytree': 0.8271117168612221, 'learning_rate': 0.009328294650839059, 'max_bin': 63, 'path_smooth': 0.0012629989039319985, 'extra_trees': False}",-0.0013865989107762,,,,,,,,,3.8,16,4,2098,0.0150755790107936,0.0014539199187561,8.005866020696466,10.779551620950164,0.6114782364706229,0.8271117168612221,0.009328294650839,63,0.0012629989039319,False,0.0013865989107762,0.003966798753682,0.0025801998429058,0.2617871712901856,1.0,0.00689004745273,0.0103110592808289,0.0042722456656654,1505.0
20,fe18db0729962dd7,"{'num_leaves': 24, 'max_depth': 6, 'min_child_samples': 1544, 'min_child_weight': 0.006841671828013818, 'min_split_gain': 0.008945150807271526, 'reg_alpha': 0.04768702722931377, 'reg_lambda': 3.1294064907273147, 'subsample': 0.6279863393256307, 'colsample_bytree': 0.8047076662786214, 'learning_rate': 0.00516848777011726, 'max_bin': 63, 'path_smooth': 0.0014551749476072258, 'extra_trees': False}",-0.0018011443081028,,,,,,,,,5.2,24,6,1544,0.0068416718280138,0.0089451508072715,0.0476870272293137,3.1294064907273147,0.6279863393256307,0.8047076662786214,0.0051684877701172,63,0.0014551749476072,False,0.0018011443081028,0.0044127754328279,0.0026116311247251,0.282724471511455,1.0,0.0068153594535381,0.0101353243385656,0.004052557726161,1505.0
21,84def93c0af4d9c8,"{'num_leaves': 3, 'max_depth': 5, 'min_child_samples': 4462, 'min_child_weight': 0.03399378617344304, 'min_split_gain': 0.00023026941313627285, 'reg_alpha': 0.0017936291073564492, 'reg_lambda': 1.286280191622416, 'subsample': 0.535300540803635, 'colsample_bytree': 0.8199522255922851, 'learning_rate': 0.017448169001283726, 'max_bin': 127, 'path_smooth': 0.8273057135454879, 'extra_trees': True}",-0.0021016945694961,,,,,,,,,4.0,3,5,4462,0.033993786173443,0.0002302694131362,0.0017936291073564,1.286280191622416,0.535300540803635,0.8199522255922851,0.0174481690012837,127,0.8273057135454879,True,0.0021016945694961,0.0044342593349458,0.0023325647654497,0.2751934994911333,1.0,0.0067516368483115,0.0103219758866132,0.0038553690053005,951.0
22,400f11fbabf6e492,"{'num_leaves': 3, 'max_depth': 4, 'min_child_samples': 7412, 'min_child_weight': 0.010945380465076522, 'min_split_gain': 0.0, 'reg_alpha': 0.009816640566192686, 'reg_lambda': 2.994219760516552, 'subsample': 0.5819735864017148, 'colsample_bytree': 0.6695295680145215, 'learning_rate': 0.017900978342858892, 'max_bin': 63, 'path_smooth': 0.1447361749023755, 'extra_trees': False}",-0.0020094785545503,,,,,,,,,5.4,3,4,7412,0.0109453804650765,0.0,0.0098166405661926,2.994219760516552,0.5819735864017148,0.6695295680145215,0.0179009783428588,63,0.1447361749023755,False,0.0020094785545503,0.0043598287776113,0.0023503502230609,0.2668527052952459,0.8888888888888888,0.0067688136704143,0.0103749137138895,0.0038758910131909,1442.0
