fold,pvalue_rounds,actual_rounds,selected_features,max_pvalue,is_stable,removed_features,train_roc_auc,train_pr_auc,train_brier_score,train_log_loss,valid_roc_auc,valid_pr_auc,valid_brier_score,valid_log_loss
4,2,2,17,0.028927971010689453,False,30,0.7169126259418924,0.30637441672245025,0.10522473878208222,0.36934027434242483,0.7650643786816923,0.22950721888297584,0.06368092391425052,0.24309514597702164
4,3,3,16,4.2034735588788893e-05,True,31,0.7162668586443734,0.30617026183346585,0.10523900549823037,0.369410178536787,0.7621830543202404,0.22789955881985696,0.06372816037561968,0.24341300967635604
4,4,3,16,4.2034735588788893e-05,True,31,0.7162668586443734,0.30617026183346585,0.10523900549823037,0.369410178536787,0.7621830543202404,0.22789955881985696,0.06372816037561968,0.24341300967635604
5,0,0,47,1.0,False,0,0.7274933323205853,0.3052106375336393,0.10022449654295376,0.3517535392364873,0.7259825223417011,0.25017836185033115,0.10421135763741127,0.3556986947773867
5,1,1,19,0.04101459155203709,False,28,0.7150116288785082,0.29294569473221194,0.10197529264178333,0.3625845365633818,0.715651347891692,0.24648844813122905,0.10448908120276128,0.3611060166017179
5,2,2,18,0.006670855459833705,True,29,0.715758348208069,0.29355384405785395,0.10192835587726669,0.3622904458881712,0.7162103373722012,0.24715179239995652,0.10440124564489248,0.36064153736667065
5,3,2,18,0.006670855459833705,True,29,0.715758348208069,0.29355384405785395,0.10192835587726669,0.3622904458881712,0.7162103373722012,0.24715179239995652,0.10440124564489248,0.36064153736667065
5,4,2,18,0.006670855459833705,True,29,0.715758348208069,0.29355384405785395,0.10192835587726669,0.3622904458881712,0.7162103373722012,0.24715179239995652,0.10440124564489248,0.36064153736667065
6,0,0,47,1.0,False,0,0.7272953833987986,0.3006456929639138,0.10028318221308179,0.3501754764660801,0.6670059619019921,0.15893027285899683,0.06600510640961749,0.25629186998269804
6,1,1,21,0.44064890701780146,False,26,0.7206723165187865,0.2928200937932851,0.10129502219603527,0.3560638498461333,0.6666306764107383,0.1545637193784015,0.06635808094522307,0.25733654972556325
6,2,2,19,0.006663958119256175,True,28,0.7213182994620089,0.29319903639568656,0.10126686601866572,0.35588898092077115,0.6674683205930729,0.15449404567721697,0.06633940998929948,0.25722656291929
6,3,2,19,0.006663958119256175,True,28,0.7213182994620089,0.29319903639568656,0.10126686601866572,0.35588898092077115,0.6674683205930729,0.15449404567721697,0.06633940998929948,0.25722656291929
6,4,2,19,0.006663958119256175,True,28,0.7213182994620089,0.29319903639568656,0.10126686601866572,0.35588898092077115,0.6674683205930729,0.15449404567721697,0.06633940998929948,0.25722656291929
7,0,0,47,0.9999998685074913,False,0,0.7273834706751662,0.29302106985274967,0.09640778747617944,0.338669072269983,0.6866751255547665,0.2480017145777756,0.10560877406965824,0.3627993273059123
7,1,1,19,0.5902936793669387,False,28,0.7263483826835384,0.292804774581956,0.09643557435535327,0.33952104748096534,0.6884399526072826,0.2517582705981033,0.10528802115699439,0.36173525281776964
7,2,2,15,0.00443720251774936,True,32,0.7267222508052515,0.2924499809666429,0.09651037370590478,0.3396762335561531,0.6913030517286145,0.2559950513317097,0.10502803079941492,0.36059089453036375
7,3,2,15,0.00443720251774936,True,32,0.7267222508052515,0.2924499809666429,0.09651037370590478,0.3396762335561531,0.6913030517286145,0.2559950513317097,0.10502803079941492,0.36059089453036375
7,4,2,15,0.00443720251774936,True,32,0.7267222508052515,0.2924499809666429,0.09651037370590478,0.3396762335561531,0.6913030517286145,0.2559950513317097,0.10502803079941492,0.36059089453036375
